titulo,co_autores,ano_pub,DOI,estudio
A longitudinal study of neighbourhood conditions and depression in ageing European adults: Do the associations vary by exposure to childhood stressors?,"Baranyi, Gergő; Sieber, Stefan; Pearce, Jamie; Cheval, Boris; Dibben, Chris; Kliegel, Matthias; Cullati, Stéphane",2019,10.1016/j.ypmed.2019.105764,
A longitudinal study of well-being in older workers and retirees: The role of engaging in different types of activities.,"Potočnik, Kristina; Sonnentag, Sabine",2013,10.1111/joop.12003,
A multi-cohort study of polymorphisms in the GH/IGF axis and physical capability: the HALCyon programme.,"Alfred, Tamuno; Ben-Shlomo, Yoav; Cooper, Rachel; Hardy, Rebecca; Cooper, Cyrus; Deary, Ian J.; Gaunt, Tom R.; Gunnell, David; Harris, Sarah E.; Kumari, Meena; Martin, Richard M.; Sayer, Avan Aihie; Starr, John M.; Kuh, Diana; Day, Ian N. M.",2012,10.1371/journal.pone.0029883,
"A National Longitudinal Study of Partnered Sex, Relationship Quality, and Mental Health Among Older Adults.","Zhang, Yan; Liu, Hui",2020,10.1093/geronb/gbz074,
A positive association of smoking and articular knee joint cartilage in healthy people.,"Racunica, T. L.; Szramka, M.; Wluka, A. E.; Wang, Y.; English, D. R.; Giles, G. G.; O'Sullivan, R.; Cicuttini, F. M.",2007,10.1016/j.joca.2006.12.005,
A prospective population-based study of differences in elder self-neglect and mortality between black and white older adults.,"Dong, XinQi; Simon, Melissa A.; Fulmer, Terry; Mendes de Leon, Carlos F.; Hebert, Liesi E.; Beck, Todd; Scherr, Paul A.; Evans, Denis A.",2011,10.1093/gerona/glr053,
"A prospective study of associations among helping, health, and longevity.","Hilbrand, Sonja; Coall, David A.; Meyer, Andrea H.; Gerstorf, Denis; Hertwig, Ralph",2017,10.1016/j.socscimed.2017.06.035,
A prospective study of the effect of fracture on measured physical performance: results from the MacArthur Study--MAC.,"Greendale, G. A.; DeAmicis, T. A.; Bucur, A.; Bretsky, P.; Rowe, J. W.; Reuben, D. B.; Seeman, T.",2000,10.1111/j.1532-5415.2000.tb05001.x,
A single measurement of serum phylloquinone is an adequate indicator of long-term phylloquinone exposure in healthy older adults.,"Presse, Nancy; Gaudreau, Pierrette; Greenwood, Carol E.; Kergoat, Marie-Jeanne; Morais, Jose A.; Payette, Hélène; Shatenstein, Bryna; Ferland, Guylaine",2012,10.3945/jn.112.164608,
A spatial analysis of dietary patterns in a large representative population in the north of The Netherlands - the Lifelines cohort study.,"Dekker, Louise H.; Rijnks, Richard H.; Strijker, Dirk; Navis, Gerjan J.",2017,10.1186/s12966-017-0622-8,
Abeta deposits in older non-demented individuals with cognitive decline are indicative of preclinical Alzheimer's disease,"Villemagne, V. L. a; Pike, K. E. a; Darby, D. d; Maruff, P. d; Savage, G. e; Ng, S. a; Ackermann, U. a; Cowie, T. F. c; Currie, J. g; Chan, S. G. a; Jones, G. a; Tochon-Danguy, H. a; O'Keefe, G. a; Masters, C. L. b; Rowe, C. C. a",2008,10.1016/j.neuropsychologia.2008.02.008,
Abstract P019:  Family History of Cardiovascular Disease is Associated With Cognitive Function:  The Emory Healthy Aging Study.  Abstract,"Goetz, Margarethe E.; Marcus, Michele; Vaccarino, Viola; Goldstein, Felicia; Levey, Allan; Lah, James",2017,NA,
"Abstract P021:  Association of AHA Cardiovascular Health Metrics With Cognitive Function, Depression, and Anxiety:  The Emory Healthy Aging Study.  Abstract","Alonso, Alvaro; Goldstein, Felicia C.; Vaccarino, Viola; Levey, Allan I.; Lah, James J.; Marcus, Michele",2017,NA,
Abstract P192:  Depression And Anxiety Are Associated With Cardiovascular Health In Young Adults.  Abstract,"Patterson, Sierra L.; Marcus, Michele; Goetz, Margarethe; Gooding, Holly C.",2021,10.1161/circ.143.suppl_1.P192,
Abstract P324:  Association of Neighborhood Perception and Physical Activity in the Healthy Aging in Neighborhoods of Diversity Across the Lifespan (HANDLS) Study.  Abstract,"Claudel, Sophie E.; Shiroma, Eric J.; Harris, Tamara B.; Ahuja, Chaarushi; Zonderman, Alan B.; Evans, Michele K.; Powell-Wiley, Tiffany M.",2018,NA,
Accelerated epigenetic age and cognitive decline among urban-dwelling adults.,"Beydoun, May A.; Shaked, Danielle; Tajuddin, Salman M.; Weiss, Jordan; Evans, Michele K.; Zonderman, Alan B.",2020,10.1212/WNL.0000000000008756,
Accounting for changes in social support among married older adults: insights from the MacArthur Studies of Successful Aging.,"Gurung, Regan A. R.; Taylor, Shelley E.; Seeman, Teresa E.",2003,10.1037/0882-7974.18.3.487,
Accounting for differences in cognitive health between older adults in New Zealand and the USA.,"Stephens, Christine; Spicer, John; Budge, Claire; Stevenson, Brendan; Alpass, Fiona",2015,10.1017/S1041610214002579,
Accuracy of collateral source reports in very mild to mild dementia of the Alzheimer type.,"Cacchione, Pamela Z.; Powlishta, Kimberly K.; Grant, Elizabeth A.; Buckles, Virginia D.; Morris, John C.",2003,10.1046/j.1365-2389.2003.51263.x,
Active social participation and mortality risk among older people in Japan: results from a nationally representative sample.,"Minagawa, Yuka; Saito, Yasuhiko",2015,10.1177/0164027514545238,
Adherence to a Mediterranean Diet Protects from Cognitive Decline in the Invecchiare in Chianti Study of Aging.,"Tanaka, Toshiko; Talegawkar, Sameera A.; Jin, Yichen; Colpo, Marco; Ferrucci, Luigi; Bandinelli, Stephania",2018,10.3390/nu10122007,
"Adiposity Without Obesity: Associations with Osteoporosis, Sarcopenia, and Falls in the Healthy Ageing Initiative Cohort Study.","Scott, David; Johansson, Jonas; Ebeling, Peter R.; Nordstrom, Peter; Nordstrom, Anna",2020,10.1002/oby.22984,
Age and education effects and norms on a cognitive test battery from a population-based cohort: the Monongahela-Youghiogheny Healthy Aging Team.,"Ganguli, Mary; Snitz, Beth E.; Lee, Ching-Wen; Vanderbilt, Joni; Saxton, Judith A.; Chang, Chung-Chou H.",2010,10.1080/13607860903071014,
Age-Related Hearing Loss and Its Association with Depression in Later Life.,"Brewster, Katharine K.; Ciarleglio, Adam; Brown, Patrick J.; Chen, Chen; Kim, Hae-Ok; Roose, Steven P.; Golub, Justin S.; Rutherford, Bret R.",2018,10.1016/j.jagp.2018.04.003,
Aging Trajectories in Different Body Systems Share Common Environmental Etiology: The Healthy Aging Twin Study (HATS).,"Moayyeri, Alireza; Hart, Deborah J.; Snieder, Harold; Hammond, Christopher J.; Spector, Timothy D.; Steves, Claire J.",2016,10.1017/thg.2015.100,
Alcohol Drinking and Health in Ageing: A Global Scale Analysis of Older Individual Data through the Harmonised Dataset of ATHLOS.,"Tyrovolas, Stefanos; Panaretos, Dimitris; Daskalopoulou, Christina; Gine-Vazquez, Iago; Niubo, Albert Sanchez; Olaya, Beatriz; Bobak, Martin; Prince, Martin; Prina, Matthew; Ayuso-Mateos, Jose Luis; Caballero, Francisco Felix; Garcia-Esquinas, Esther; Holger, Arndt; Scherbov, Sergei; Sanderson, Warren; Gheno, Ilenia; Koupil, Ilona; Bickenbach, Jerome; Chatterji, Somnath; Koskinen, Seppo; Raggi, Alberto; Pajak, Andrzej; Tobiasz-Adamczyk, Beata; Haro, Josep Maria; Panagiotakos, Demosthenes",2020,10.3390/nu12061746,
Allostatic load as a predictor of functional decline. MacArthur studies of successful aging.,"Karlamangla, Arun S.; Singer, Burton H.; McEwen, Bruce S.; Rowe, John W.; Seeman, Teresa E.",2002,10.1016/s0895-4356(02)00399-2,
"Alternative Pathway Analyses Indicate Bidirectional Relations between Depressive Symptoms, Diet Quality, and Central Adiposity in a Sample of Urban US Adults.","Beydoun, May A.; Fanelli-Kuczmarski, Marie T.; Shaked, Danielle; Dore, Greg A.; Beydoun, Hind A.; Rostant, Ola S.; Evans, Michele K.; Zonderman, Alan B.",2016,10.3945/jn.115.229054,
Altitude and regional gradients in chronic kidney disease prevalence in Costa Rica: Data from the Costa Rican Longevity and Healthy Aging Study,"Harhay, Meera N.; Harhay, Michael O.; Coto-Yglesias, Fernando; Rosero Bixby, Luis",2016,10.1111/tmi.12622,
"Altruism, helping, and volunteering: pathways to well-being in late life.","Kahana, Eva; Bhatta, Tirth; Lovegreen, Loren D.; Kahana, Boaz; Midlarsky, Elizabeth",2013,10.1177/0898264312469665,
Alzheimer's disease pathology in a community-based sample of older adults without dementia: The MYHAT neuroimaging study.,"Sullivan, Kevin J.; Liu, Anran; Chang, Chung-Chou H.; Cohen, Ann D.; Lopresti, Brian J.; Minhas, Davneet S.; Laymon, Charles M.; Klunk, William E.; Aizenstein, Howard; Nadkarni, Neelesh K.; Loewenstein, David; Kamboh, M. Ilyas; Ganguli, Mary; Snitz, Beth E.",2021,10.1007/s11682-020-00334-2,
Antecedents of Attitudes to Aging: A Study of the Roles of Personality and Well-being.,"Bryant, Christina; Bei, Bei; Gilson, Kim-Michelle; Komiti, Angela; Jackson, Henry; Judd, Fiona",2016,10.1093/geront/gnu041,
Approaches in methodology for population-based longitudinal study on neuroprotective model for healthy longevity (TUA) among Malaysian Older Adults.,"Shahar, Suzana; Omar, Azahadi; Vanoh, Divya; Hamid, Tengku Aizan; Mukari, Siti Zamratol Mai-Sarah; Din, Normah Che; Rajab, Nor Fadilah; Mohammed, Zainora; Ibrahim, Rahimah; Loo, Won Hui; Meramat, Asheila; Kamaruddin, Mohd Zul Amin; Bagat, Mohamad Fazdillah; Razali, Rosdinom",2016,10.1007/s40520-015-0511-4,
Approaches to Optimize Medication Data Analysis in Clinical Cohort Studies.,"Duprey, Matthew S.; Devlin, John W.; Briesacher, Becky A.; Travison, Thomas G.; Griffith, John L.; Inouye, Sharon K.",2020,10.1111/jgs.16844,
Are younger cohorts in the USA and England ageing better?,"de la Fuente, Javier; Caballero, Francisco Félix; Verdes, Emese; Rodríguez-Artalejo, Fernando; Cabello, María; de la Torre-Luque, Alejandro; Sánchez-Niubó, Albert; María Haro, Josep; Ayuso-Mateos, José Luis; Chatterji, Somnath",2019,10.1093/ije/dyz126,
Assessing Older Adults' Masticatory Efficiency.,"Cusson, Valérie; Caron, Christian; Gaudreau, Pierrette; Morais, José A.; Shatenstein, Bryna; Payette, Hélène",2015,10.1111/jgs.13443,
Assessment of complex mental activity across the lifespan: development of the Lifetime of Experiences Questionnaire (LEQ).,"Valenzuela, Michael J.; Sachdev, Perminder",2007,10.1017/S003329170600938X,
Assessment of the health status in the Massa Lombarda cohort: a preliminary description of the program evaluating cardio-cerebro-vascular disease risk factors  and quality of life in an elderly population.,"Nascetti, S.; Linarello, S.; Scurti, M.; Grandi, E.; Gaddoni, M.; Noera, G.; Gaddi, A.",2004,10.1016/j.archger.2004.04.041,
"Assistive Device Use among Community-Dwelling Older Adults: A Profile of Canadians Using Hearing, Vision, and Mobility Devices in the Canadian Longitudinal Study on Aging.","Ishigami, Yoko; Jutai, Jeffrey; Kirkland, Susan",2021,10.1017/S0714980819000692,
Association Between a Woman's Age at First Birth and High Blood Pressure.,"Lind, Joanne M.; Hennessy, Annemarie; Chiu, Christine L.",2015,10.1097/MD.0000000000000697,
"Association between cerebral microbleeds and hypertension in the Swedish general population """"""""Good Aging in Skåne"""""""" study.","Elmståhl, Sölve; Ellström, Katarina; Siennicki-Lantz, Arkadiusz; Abul-Kasim, Kasim",2019,10.1111/jch.13606,
Association Between Cognitive Test Performance and Subjective Cognitive Decline in a Diverse Cohort of Older Adults: Findings From the KHANDLE Study.,"Corlier, Fabian W.; Shaw, Crystal; Hayes-Larson, Eleanor; Mungas, Dan; Tomaszewski Farias, Sarah; Glymour, M. Maria; Whitmer, Rachel A.; Mayeda, Elizabeth R.",2020,10.1097/WAD.0000000000000383,
Association between depressive symptoms and metabolic syndrome in Japanese community-dwelling older people: a cross-sectional analysis from the baseline results of the Fujiwara-kyo prospective cohort study.,"Morikawa, Masayuki; Okamoto, Nozomi; Kiuchi, Kuniaki; Tomioka, Kimiko; Iwamoto, Junko; Harano, Akihiro; Saeki, Keigo; Fukusumi, Masami; Hashimoto, Kazumichi; Amano, Nobuko; Hazaki, Kan; Yanagi, Motokazu; Iki, Masayuki; Yamada, Fumio; Kishimoto, Toshifumi; Kurumatani, Norio",2013,10.1002/gps.3950,
Association Between Dietary Patterns in Midlife and Healthy Ageing in Chinese Adults: The Singapore Chinese Health Study.,"Zhou, Yan-Feng; Song, Xing-Yue; Wu, Jing; Chen, Guo-Chong; Neelakantan, Nithya; van Dam, Rob M.; Feng, Lei; Yuan, Jian-Min; Pan, An; Koh, Woon-Puay",2021,10.1016/j.jamda.2020.09.045,
Association between Dietary Sodium Intake and Cognitive Function in Older Adults.,"Rush, T. M.; Kritz-Silverstein, D.; Laughlin, G. A.; Fung, T. T.; Barrett-Connor, E.; McEvoy, L. K.",2017,10.1007/s12603-016-0766-2,
Association between epigenetic age acceleration and depressive symptoms in a prospective cohort study of urban-dwelling adults.,"Beydoun, May A.; Hossain, Sharmin; Chitrala, Kumaraswamy Naidu; Tajuddin, Salman M.; Beydoun, Hind A.; Evans, Michele K.; Zonderman, Alan B.",2019,10.1016/j.jad.2019.06.032,
Association Between Hospital Readmission and Acute and Sustained Delays in Functional Recovery During 18 Months After Elective Surgery: The Successful Aging  after Elective Surgery Study.,"Pisani, Margaret A.; Albuquerque, Asha; Marcantonio, Edward R.; Jones, Richard N.; Gou, Ray Yun; Fong, Tamara G.; Schmitt, Eva M.; Tommet, Douglas; Isaza Aizpurua, Ilean I.; Alsop, David C.; Inouye, Sharon K.; Travison, Thomas G.",2017,10.1111/jgs.14549,
Association Between Serum Beta-Carotene Levels and Decline of Cognitive Function in High-Functioning Older Persons With or Without Apolipoprotein E 4 Alleles: Mac Arthur Studies of Successful Aging,"Hu, Peifeng; Bretsky, Philip; Crimmins, Eileen M.; Guralnik, Jack M.; Reuben, David B.; Seeman, Teresa E.",2006,10.1093/gerona/61.6.616,
Association Between Subjective Well-being and Living Longer Without Disability or Illness.,"Zaninotto, Paola; Steptoe, Andrew",2019,10.1001/jamanetworkopen.2019.6870,
Association between successful aging transitions and depressive symptoms among older Korean adults: findings from the Korean longitudinal study of aging (2006-2018).,"Nari, Fatima; Jang, Bich Na; Kim, Selin; Jeong, Wonjeong; Jang, Sung-In; Park, Eun-Cheol",2021,10.1186/s12877-021-02250-6,
Association between tea consumption and depressive symptom among Chinese older adults.,"Shen, Ke; Zhang, Bin; Feng, Qiushi",2019,10.1186/s12877-019-1259-z,
Association of 10-Year C-Reactive Protein Trajectories With Markers of Healthy Aging: Findings From the English Longitudinal Study of Aging.,"Lassale, Camille; Batty, G. David; Steptoe, Andrew; Cadar, Dorina; Akbaraly, Tasnime N.; Kivimäki, Mika; Zaninotto, Paola",2019,10.1093/gerona/gly028,
"Association of Antioxidant Vitamins A, C, E and Carotenoids with Cognitive Performance over Time: A Cohort Study of Middle-Aged Adults.","Beydoun, May A.; Canas, Jose A.; Fanelli-Kuczmarski, Marie T.; Maldonado, Ana I.; Shaked, Danielle; Kivimaki, Mika; Evans, Michele K.; Zonderman, Alan B.",2020,10.3390/nu12113558,
Association of blood uric acid and cognitive impairment in oldest-old aged 80 years and older in 9 longevity areas of China.,"Chen, C.; Lyu, Y. B.; Li, C. C.; Cai, J. F.; Zhang, X. C.; Liu, Y. C.; Lu, F.; Zhao, F.; Cao, Z. J.; Shi, X. M.",2021,10.3760/cma.j.cn112150-20200724-01053,
Association of depression and psychotropic medication on cardiac-related outcomes in a nationwide community-dwelling elderly population in Taiwan.,"Hsu, Wen-Yu; Tsai, Hui-Ju; Yu, Shu-Han; Hsu, Chih-Cheng; Tsai, Yu-Ting; Tzeng, Han-Yun; Lin, I.-Ching; Liu, Kiang; Lee, Marion M.; Chiu, Nan-Ying; Hsiung, Chao A.",2016,10.1097/MD.0000000000004419,
"Association of depressive symptoms, trait anxiety, and perceived stress with subclinical atherosclerosis: results from the Chicago Healthy Aging Study (CHAS).","Hernandez, Rosalba; Allen, Norrina Bai; Liu, Kiang; Stamler, Jeremiah; Reid, Kathryn Jean; Zee, Phyllis C.; Wu, Donghong; Kang, Joseph; Garside, Daniel B.; Daviglus, Martha L.",2014,10.1016/j.ypmed.2013.12.032,
Association of hearing impairment and mortality in older adults.,"Genther, Dane J.; Betz, Joshua; Pratt, Sheila; Kritchevsky, Steven B.; Martin, Kathryn R.; Harris, Tamara B.; Helzner, Elizabeth; Satterfield, Suzanne; Xue, Qian-Li; Yaffe, Kristine; Simonsick, Eleanor M.; Lin, Frank R.",2015,10.1093/gerona/glu094,
Association of low blood arsenic exposure with level of malondialdehyde among Chinese adults aged 65 and older.,"Tan, Qiyue; Lv, Yuebin; Zhao, Feng; Zhou, Jinhui; Yang, Yang; Liu, Yingchun; Zhang, Mingyuan; Lu, Feng; Wei, Yuan; Chen, Xin; Zhang, Ruizhi; Chen, Chen; Wu, Bing; Zhang, Xiaochang; Li, Chengcheng; Huang, Hongyuan; Cai, Junfang; Cao, Zhaojin; Yu, Di; Ji, John S.; Zhao, Shuhua; Shi, Xiaoming",2021,10.1016/j.scitotenv.2020.143638,
Association of neutrophil-to-lymphocyte ratio with depressive symptoms among older adults aged 65 years and above in 9 longevity areas of China.,"Zhang, X. C.; Lyu, Y. B.; Zhou, J. H.; Chen, C.; Li, C. C.; Cai, J. F.; Cao, Z. J.; Zhao, F.; Liu, Y. C.; Gu, H.; Lu, F.; Shi, X. M.",2021,10.3760/cma.j.cn112150-20200812-01112,
Association of nutritional risk and depressive symptoms with physical performance in the elderly: the Quebec longitudinal study of nutrition as a determinant of  successful aging (NuAge).,"Avila-Funes, José Alberto; Gray-Donald, Katherine; Payette, Hélène",2008,10.1080/07315724.2008.10719730,
Association of regional muscle strength with mortality and hospitalisation in older people.,"GUADALUPE-GRAU, AMELIA; CARNICERO, JOSÉ A.; GÓMEZ-CABELLO, ALBA; GUTIÉRREZ AVILA, GONZALO; HUMANES, SONIA; ALEGRE, LUIS M.; CASTRO, MARTA; RODRÍGUEZ-MAÑAS, LEOCADIO; GARCÍA-GARCÍA, FRANCISCO JOSÉ",2015,10.1093/ageing/afv080,
Association of social support and social activity with physical functioning in older persons.,"Park, Kyunghye; Lee, Yunhwan",2007,10.3961/jpmph.2007.40.2.137,
Associations between APOE and low-density lipoprotein cholesterol genotypes and cognitive and physical capability: the HALCyon programme.,"Alfred, Tamuno; Ben-Shlomo, Yoav; Cooper, Rachel; Hardy, Rebecca; Cooper, Cyrus; Deary, Ian J.; Elliott, Jane; Gunnell, David; Harris, Sarah E.; Kivimaki, Mika; Kumari, Meena; Martin, Richard M.; Power, Chris; Sayer, Avan Aihie; Starr, John M.; Kuh, Diana; Day, Ian N. M.",2014,10.1007/s11357-014-9673-9,
Associations between frailty and serum N-terminal propeptide of type I procollagen and 25-hydroxyvitamin D in older Spanish women: The Toledo Study for Healthy Aging,"Alvarez-Rios, Ana I. a; Guerrero, Juan M. a; Garcia-Garcia, Francisco J. c; Rodriguez-Manas, Leocadio d; Medrano-Campillo, Pablo a; de la Torre Lanza, Maria A. c; Alvarez-Sanchez, Nuria b; Carrillo-Vico, Antonio b",2015,10.1016/j.exger.2015.05.011,
"Associations between xerostomia, histopathological alterations, and autonomic innervation of labial salivary glands in men in late midlife.","Sørensen, Christiane Elisabeth; Larsen, Jytte Overgaard; Reibel, Jesper; Lauritzen, Martin; Mortensen, Erik Lykke; Osler, Merete; Pedersen, Anne Marie Lynge",2014,10.1016/j.exger.2014.06.004,
Associations of decision making abilities with blood pressure values in older adults.,"Lamar, Melissa; Wilson, Robert S.; Yu, Lei; Stewart, Christopher C.; Bennett, David A.; Boyle, Patricia A.",2020,10.1097/HJH.0000000000002220,
Basal body temperature as a biomarker of healthy aging.,"Simonsick, Eleanor M.; Meier, Helen C. S.; Shaffer, Nancy Chiles; Studenski, Stephanie A.; Ferrucci, Luigi",2016,10.1007/s11357-016-9952-8,
Becoming a nonagenarian: factors associated with survival up to 90 years old in 70+ men and women. Results from the PAQUID longitudinal cohort.,"Edjolo, A.; Helmer, C.; Barberger-Gateau, P.; Dartigues, J.-F.; Maubaret, C.; Pérès, K.",2013,10.1007/s12603-013-0041-8,
BELFAST centenarians: a case of optimised cardiovascular risk?,"Bennati, E.; Murphy, A.; Cambien, F.; Whitehead, A. S.; Archbold, G. P. R.; Young, I. S.; Rea, I. M.",2010,10.2174/138161210790883697,
Benefits and challenges of research with the oldest old for participants and nurses.,Leahy MJ; Thurber D; Calvert JF Jr.,2005,NA,
Bi-directional Association of Cerebrospinal Fluid Immune Markers with Stage of Alzheimer's Disease Pathogenesis.,"Meyer, Pierre-François; Savard, Melissa; Poirier, Judes; Labonté, Anne; Rosa-Neto, Pedro; Weitz, Tara M.; Town, Terrence; Breitner, John",2018,10.3233/JAD-170887,
Biochemical and Hematological Correlates of Elevated Homocysteine in National Surveys and a Longitudinal Study of Urban Adults.,"Beydoun, May A.; Beydoun, Hind A.; MacIver, Peter H.; Hossain, Sharmin; Canas, Jose A.; Evans, Michele K.; Zonderman, Alan B.",2020,10.3390/nu12040950,
"Biological Age, Not Chronological Age, Is Associated with Late-Life Depression.","Brown, Patrick J.; Wall, Melanie M.; Chen, Chen; Levine, Morgan E.; Yaffe, Kristine; Roose, Steven P.; Rutherford, Bret R.",2018,10.1093/gerona/glx162,
Body mass index and unintentional weight change associated with all-cause mortality in older Australians: the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA).,"Atlantis, Evan; Browning, Colette; Kendig, Hal",2010,10.1093/ageing/afq073,
British Columbia CARMA-CHIWOS Collaboration (BCC3): protocol for a community-collaborative cohort study examining healthy ageing with and for women living with HIV.,"Swann, Shayda A; Kaida, Angela; Nicholson, Valerie; Brophy, Jason; Campbell, Amber R; Carter, Allison; Elwood, Chelsea; Gebremedhen, Tsion; Gormley, Rebecca; King, Elizabeth M; Lee, Melanie; Lee, Vonnie; Maan, Evelyn J; Magagula, Patience; Nyman, Sheila; Pang, Davi; Pick, Neora; Povshedna, Tetiana; Prior, Jerilynn C; Singer, Joel; Tognazzini, Shelly; Murray, Melanie C M; Cote, Helene C F",2021,10.1136/bmjopen-2020-046558,
Capturing the Diversity of Successful Aging: An Operational Definition Based on 16-Year Trajectories of Functioning.,"Kok, Almar A. L.; Aartsen, Marja J.; Deeg, Dorly J. H.; Huisman, Martijn",2017,10.1093/geront/gnv127,
Capturing the diversity of working age life-courses: A European perspective on cohorts born before 1945.,"Komp-Leukkunen, Kathrin",2019,10.1371/journal.pone.0212400,
Cardiovascular disease and death associated with depression and antidepressants in the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA).,"Atlantis, Evan; Grayson, Dave A.; Browning, Colette; Sims, Jane; Kendig, Hal",2011,10.1002/gps.2532,
Causes of Mortality in Older People With Intellectual Disability: Results From the HA-ID Study.,"Oppewal, Alyt; Schoufour, Josje D.; van der Maarl, Hanne J. K.; Evenhuis, Heleen M.; Hilgenkamp, Thessa I. M.; Festen, Dederieke A.",2018,10.1352/1944-7558-123.1.61,
Cerebrospinal Fluid Markers of Neurodegeneration and Rates of Brain Atrophy in Early Alzheimer Disease.,"Tarawneh, Rawan; Head, Denise; Allison, Samantha; Buckles, Virginia; Fagan, Anne M.; Ladenson, Jack H.; Morris, John C.; Holtzman, David M.",2015,10.1001/jamaneurol.2015.0202,
Change in Engagement in Cognitive Activity and Risk for Mild Cognitive Impairment in a Cohort of Older Adults: The Monongahela-Youghiogheny Healthy Aging Team (MYHAT)  Study.,"Hughes, Tiffany F.; Sun, Zhaowen; Chang, Chung-Chou H.; Ganguli, Mary",2018,10.1097/WAD.0000000000000214,
Chicago Healthy Aging Study: Objectives and Design.,"Pirzada, Amber; Reid, Kathryn; Kim, Daniel; Garside, Daniel B.; Lu, Brandon; Vu, Thanh-Huyen T.; Lloyd-Jones, Donald M.; Zee, Phyllis; Liu, Kiang; Stamler, Jeremiah; Daviglus, Martha L.",2013,10.1093/aje/kwt020,
"Childhood adversity, midlife generativity, and later life well-being.","Landes, Scott D.; Ardelt, Monika; Vaillant, George E.; Waldinger, Robert J.",2014,10.1093/geronb/gbu055,
Chronic disease and sitting time in middle-aged Australian males: findings from the 45 and Up Study.,"George, Emma S.; Rosenkranz, Richard R.; Kolt, Gregory S.",2013,10.1186/1479-5868-10-20,
CIHR Candrive Cohort Comparison with Canadian Household Population Holding Valid Driver's Licenses.,"Gagnon, Sylvain; Marshall, Shawn; Kadulina, Yara; Stinchcombe, Arne; Bédard, Michel; Gélinas, Isabelle; Man-Son-Hing, Malcolm; Mazer, Barbara; Naglie, Gary; Porter, Michelle M.; Rapoport, Mark; Tuokko, Holly; Vrkljan, Brenda",2016,10.1017/S0714980816000052,
Cognition and neuropathology in aging: multidimensional perspectives from the Rush Religious Orders Study and Rush Memory And Aging Project.,"Negash, S; Bennett, D A; Wilson, R S; Schneider, J A; Arnold, S E",2011,NA,
