"titulo","edad_45_Carlos","edad_45_Adrian","factores_ee_Carlos","factores_ee_Adrian","reporte_rr_Carlos","reporte_rr_Adrian","reporte_or_Carlos","reporte_or_Adrian","envejecimiento_es_Carlos","envejecimiento_es_Adrian","cohorte_Carlos","cohorte_Adrian","estudio_ee_Carlos","estudio_ee_Adrian","accion_Carlos","accion_Adrian","comentario_Carlos","comentario_Adrian","accion_2_Carlos","accion_2_Adrian","agree"
"Adolescent self-control behavior predicts body weight through the life course: a prospective birth cohort study.",1,1,2,2,2,2,2,2,2,2,4,1,2,2,NA,2,NA,NA,0,0,"agree"
"Aging disturbs the balance between effector and regulatory CD4+ T cells.",2,2,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,NA,NA,0,0,"agree"
"Alteration of Cardiac Performance and Serum B-Type Natriuretic Peptide Level in Healthy Aging.",1,1,2,2,2,2,2,2,1,2,4,2,2,1,NA,2,NA,NA,0,0,"agree"
"Are people healthier if their partners are more optimistic? The dyadic effect of optimism on health among older adults.",1,1,2,2,2,2,2,2,2,2,5,1,2,1,NA,2,NA,NA,0,0,"agree"
"Arterial-spin-labeling (ASL) perfusion MRI predicts cognitive function in elderly individuals: A 4-year longitudinal study.",2,2,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"Incluye desde los 20 años de edad",0,0,"agree"
"Association Between Carbohydrate Nutrition and Successful Aging Over 10 Years.",1,1,1,1,2,2,1,1,1,1,3,1,2,2,NA,1,NA,NA,1,1,"agree"
"Association Between Dietary Patterns in Midlife and Healthy Ageing in Chinese Adults: The Singapore Chinese Health Study.",1,1,1,1,2,2,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,"agree"
"Association between healthy vascular aging and the risk of the first stroke in a community-based Chinese cohort.",1,1,2,2,2,2,2,1,2,2,3,1,2,1,NA,2,NA,"Habla sobre el envejecimiento arterial saludable, no como concepto de envejecimiento exitoso.",0,0,"agree"
"Association between higher levels of sexual function, activity, and satisfaction and self-rated successful aging in older postmenopausal women.",1,1,1,2,3,2,3,2,1,2,4,2,2,2,NA,2,NA,"Autorreporte de como consideran su envejecimiento exitoso o no",0,0,"agree"
"Association between successful aging transitions and depressive symptoms among older Korean adults: findings from the Korean longitudinal study of aging (2006-2018).",1,1,1,1,2,2,1,1,1,1,1,1,1,1,NA,1,NA,"Modelo de Rowe y Kahn",1,1,"agree"
"Association Between Vitamin D, Frailty, and Progression of Frailty in Community-Dwelling Older Women.",1,1,2,2,2,2,2,1,2,2,3,2,2,1,NA,2,NA,"Estudia Fragilidad",0,0,"agree"
"Association of 10-Year C-Reactive Protein Trajectories With Markers of Healthy Aging: Findings From the English Longitudinal Study of Aging.",1,1,1,1,2,2,1,1,1,1,3,1,1,1,NA,1,NA,NA,1,1,"agree"
"Association of Antioxidant Vitamins A, C, E and Carotenoids with Cognitive Performance over Time: A Cohort Study of Middle-Aged Adults.",1,2,2,2,2,2,2,2,2,2,3,1,1,1,NA,2,NA,"Incluye menores de 40 años",0,0,"agree"
"Association of body mass index and waist circumference with successful aging.",1,1,1,1,2,2,1,1,1,1,3,1,2,1,NA,1,NA,"Los factores de EE son clínicos",1,1,"agree"
"Association of midlife smoking status with change in processing speed and mental flexibility among HIV-seropositive and HIV-seronegative older men: the Multicenter  AIDS Cohort Study.",1,1,2,2,2,3,2,3,2,2,3,1,2,2,NA,2,NA,NA,0,0,"agree"
"Association of regional muscle strength with mortality and hospitalisation in older people.",1,1,2,2,2,2,2,2,2,2,4,1,1,1,NA,2,NA,"No habla de factores o relación con envejecimiento exitoso. Estudia la relación de la fuerza muscular con el envejecimiento.",0,0,"agree"
"Associations of Lifestyle Behaviour and Healthy Ageing in Five Latin American and the Caribbean Countries-A 10/66 Population-Based Cohort Study.",1,1,1,1,2,2,1,1,1,1,3,1,2,2,NA,1,"Checar el estudio 10/66",NA,1,1,"agree"
"Associations of Successful Aging With Socioeconomic Position Across the Life-Course: The West of Scotland Twenty-07 Prospective Cohort Study.",1,1,1,1,3,1,3,2,1,1,2,1,2,2,NA,1,NA,NA,1,1,"agree"
"Associations with successful ageing in the """"""""Healthy Old People in Edinburgh"""""""" cohort: being well, fit and healthy.",1,1,1,1,3,3,3,3,1,1,2,1,2,2,NA,1,NA,NA,1,1,"agree"
"Atrophy of the parietal lobe in preclinical dementia.",1,1,2,2,2,2,2,2,2,2,4,1,2,1,NA,2,NA,NA,0,0,"agree"
"Bi-directional Association of Cerebrospinal Fluid Immune Markers with Stage of Alzheimer's Disease Pathogenesis.",1,1,2,2,2,2,2,2,2,2,4,2,1,2,NA,2,NA,NA,0,0,"agree"
"Biochemical and Hematological Correlates of Elevated Homocysteine in National Surveys and a Longitudinal Study of Urban Adults.",1,1,2,2,2,3,2,3,2,2,4,1,1,1,NA,2,NA,NA,0,0,"agree"
"Body mass index and unintentional weight change associated with all-cause mortality in older Australians: the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA).",1,1,2,2,2,3,2,3,2,2,3,1,1,2,NA,1,NA,NA,0,0,"agree"
"Boomer matters: Responding to emotional health needs in an aging society",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,"cualitativo",NA,0,0,"agree"
"Brain-derived neurotrophic factor (BDNF) gene: a gender-specific role in cognitive function during normal cognitive aging of the MEMO-Study?",1,1,2,2,2,3,2,3,2,2,4,2,2,1,NA,2,NA,NA,0,0,"agree"
"Caloric Restriction, the Traditional Okinawan Diet, and Healthy Aging: The Diet of the World's Longest-Lived People and Its Potential Impact on Morbidity and Life Span.  Miscellaneous Article",1,1,1,1,3,3,3,3,1,1,2,1,2,1,3,2,NA,NA,1,1,"agree"
"Can maintaining cognitive function at 65 years old predict successful ageing 6 years later? The PROOF study.",1,1,1,1,2,2,2,2,1,1,1,2,2,2,NA,1,NA,NA,1,1,"agree"
"Change in Engagement in Cognitive Activity and Risk for Mild Cognitive Impairment in a Cohort of Older Adults: The Monongahela-Youghiogheny Healthy Aging Team (MYHAT)  Study.",1,1,2,2,2,2,2,2,2,2,2,1,1,2,NA,2,NA,NA,0,0,"agree"
"Characterising neural signatures of successful aging: Electrophysiological correlates of preserved episodic memory in older age",1,1,2,2,2,2,2,2,2,2,5,2,2,1,3,2,NA,NA,0,0,"agree"
"Characteristics of Healthy Older Adults that Influence Self-rated Cognitive Function.",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,NA,NA,0,0,"agree"
"Childhood adversity, midlife generativity, and later life well-being.",1,1,1,2,3,2,3,1,1,2,5,1,1,1,3,2,NA,NA,0,0,"agree"
"Cigarette Smokers, Never-Smokers, and Transitions: Implications for Successful Aging.",1,1,1,2,3,3,3,3,1,1,5,1,2,2,NA,2,NA,NA,0,0,"agree"
"Circulating glucuronic acid predicts healthspan and longevity in humans and mice.",2,1,2,2,2,2,2,2,2,2,3,1,2,2,NA,2,NA,"No usa ningún modelo de envejecimiento exitoso",0,0,"agree"
"Cognitive abilities, brain white matter hyperintensity volume, and structural network connectivity in older age.",1,1,2,2,2,2,2,2,2,2,3,2,2,2,NA,2,NA,NA,0,0,"agree"
"Cognitive and non-cognitive factors contributing to the longitudinal identification of successful older adults in the betula study.",1,1,1,1,3,3,3,3,1,1,1,1,2,1,NA,1,NA,NA,1,1,"agree"
"Cognitive Diversity in a Healthy Aging Cohort:  Cross-Domain Cognition in the Cam-CAN Project",1,1,2,1,2,3,2,3,2,2,5,1,1,1,NA,1,NA,"Relación cognición envejecimiento",0,0,"agree"
"Commonalities in biomarkers and phenotypes between mild cognitive impairment and cerebral palsy: a pilot exploratory study.",1,1,2,2,2,3,2,3,2,2,4,1,2,2,NA,2,NA,"Menciona HA sólo como un termino no como un concepto",0,0,"agree"
"Community engagement and dementia risk: time-to-event analyses from a national cohort study.",1,1,2,2,2,2,2,2,2,2,1,1,1,1,NA,NA,NA,"usa HR, no menciona es0ecficamente puntos de HA sin embargo si los considera",0,0,"agree"
"Comparison of the Rowe-Kahn Model of Successful Aging With Self-rated Health and Life Satisfaction: The West of Scotland Twenty-07 Prospective Cohort Study.",1,1,1,1,3,3,3,3,1,1,2,1,2,1,NA,1,NA,NA,1,1,"agree"
"Conducting systematic researches on influencing factors for healthy ageing and promoting scientific implementation of health promotion program for the elderly.",1,2,1,2,2,2,2,NA,1,2,4,2,1,2,NA,2,"Reporte de estudios.","ESTA EN CHINO",0,0,"agree"
"Cystatin C and aging success.",1,1,1,1,3,2,3,2,1,1,3,1,2,2,NA,1,NA,"Usan HR, y le dan más peso a libertad de enfermedad",1,1,"agree"
"Decomposition of Mediterranean Dietary Pattern on Successful Aging, Among Older Adults: A Combined Analysis of Two Epidemiological Studies.",1,1,1,1,3,3,3,3,1,1,2,1,2,1,NA,1,NA,NA,1,1,"agree"
"Depressive symptoms in late life and cerebrovascular disease: the importance of intelligence and lesion location.",1,1,2,1,2,3,2,3,2,2,1,1,2,2,NA,2,NA,NA,0,0,"agree"
"Determinants of fluid intelligence in healthy aging: Omega-3 polyunsaturated fatty acid status and frontoparietal cortex structure.",1,1,2,2,2,2,2,2,2,2,5,2,2,2,NA,2,NA,"ESTUDIO CLÍNICO",0,0,"agree"
"Determinants of successful aging using a multidimensional definition among Chinese elderly in Singapore.",1,1,1,1,2,2,1,2,1,1,1,1,1,1,NA,1,NA,NA,1,1,"agree"
"Development of a Food Group-Based Diet Score and Its Association with Bone Mineral Density in the Elderly: The Rotterdam Study.",1,2,2,2,2,2,2,2,2,2,3,2,2,2,NA,2,NA,"Dieta y densidad ósea en adultos mayores",0,0,"agree"
"Diet and Nutrition Risk Affect Mobility and General Health in Osteoarthritis: Data from the Canadian Longitudinal Study on Aging.",1,1,2,2,2,3,2,3,2,1,4,2,1,1,NA,2,NA,NA,0,0,"agree"
"Dietary antioxidant intake and its association with cognitive function in an ethnically diverse sample of US adults.",2,1,2,2,2,2,2,2,2,2,4,2,1,1,NA,2,NA,NA,0,0,"agree"
"Dietary patterns as predictors of successful ageing.",1,1,1,1,2,2,1,1,1,1,2,1,2,1,NA,1,NA,NA,1,1,"agree"
"Dietary Patterns Associated with Lower 10-Year Atherosclerotic Cardiovascular Disease Risk among Urban African-American and White Adults Consuming Western Diets.",1,1,2,2,2,3,2,3,2,2,4,2,1,1,NA,2,NA,"Buscar Healthy Aging in Neighborhoods of Diversity across the Life Span (HANDLS) que es de donde deriva este trabajo",0,0,"agree"
"Dietary quality, lifestyle factors and healthy ageing in Europe: the SENECA study.",1,1,1,1,3,2,3,2,1,1,1,1,1,2,NA,1,NA,"Utiliza HR",1,1,"agree"
"Dietary scores at midlife and healthy ageing in a French prospective cohort.",1,1,1,1,2,2,1,1,1,1,1,1,2,2,NA,1,NA,NA,1,1,"agree"
"Differential aging of cerebral white matter in middle-aged and older adults: A seven-year follow-up.",1,1,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,NA,NA,0,0,"agree"
"Do cherished children age successfully? Longitudinal findings from the Veterans Affairs Normative Aging Study.",1,1,2,2,2,2,2,2,2,2,1,2,1,2,NA,2,NA,NA,0,0,"agree"
"Dynamic links between memory and functional limitations in old age: longitudinal evidence for age-based structural dynamics from the AHEAD study.",1,1,2,2,2,2,2,2,2,2,1,1,2,1,NA,2,NA,"Comparación de resultados de estudios longitudinales de envejecimiento",0,0,"agree"
"Education and wealth inequalities in healthy ageing in eight harmonised cohorts in the ATHLOS consortium: a population-based study.",1,1,1,1,3,3,3,3,1,1,1,2,1,1,NA,1,NA,NA,1,1,"agree"
"Effect of Cardiovascular and Metabolic Disease on Cognitive Test Performance and Cognitive Change in Older Adults.",1,1,2,2,2,2,2,2,2,2,2,1,2,2,NA,2,NA,NA,0,0,"agree"
"Effect of Early- and Adult-Life Socioeconomic Circumstances on Physical Inactivity.",1,1,2,2,2,2,2,1,2,2,2,1,1,1,NA,2,NA,NA,0,0,"agree"
"Effective coverage for hypertension treatment among middle-aged adults and the older population in China, 2011 to 2013: A nationwide longitudinal study.",2,1,2,2,2,2,2,1,2,2,3,1,2,1,NA,1,NA,NA,0,0,"agree"
"Engagement in social activities and progression from mild to severe cognitive impairment: the MYHAT study.",1,1,2,2,2,2,2,1,2,2,3,1,1,1,NA,2,NA,NA,0,0,"agree"
"Epigenetic age acceleration predicts cancer, cardiovascular, and all-cause mortality in a German case cohort.",1,1,2,2,2,2,2,1,2,2,4,1,2,1,NA,2,NA,NA,0,0,"agree"
"Estimates of age-dependent cutoffs for pathological brain volume loss using SIENA/FSL-a longitudinal brain volumetry study in healthy adults.",2,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,NA,0,0,"agree"
"Evaluation of successful aging among older people in China: Results from China health and retirement longitudinal study.",1,1,1,1,2,2,1,1,1,1,1,1,2,1,NA,1,NA,NA,1,1,"agree"
"Evaluation of the Relative Validity of the Short Diet Questionnaire for Assessing Usual Consumption Frequencies of Selected Nutrients and Foods.",1,1,2,2,2,2,2,2,2,2,4,1,1,1,NA,2,NA,"Deriva del estudio NuAge",0,0,"agree"
"Exceptionally Long-Lived Individuals (ELLI) Demonstrate Slower Aging Rate Calculated by DNA Methylation Clocks as Possible Modulators for Healthy Longevity.",1,1,2,2,2,2,2,2,2,2,4,1,2,1,NA,2,NA,"Es derivado del estudio The Israeli Multi-Ethnic Centenarian Study (IMECS) ",0,0,"agree"
"Factors affecting the survival probability of becoming a centenarian for those aged 70, based on the human mortality database: income, health expenditure, telephone,  and sanitation.",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,NA,"Estudia los factores que influyen para ser centenario",0,0,"agree"
"Factors associated with ADL/IADL disability in community dwelling older adults in the Irish longitudinal study on ageing (TILDA).",1,1,2,2,2,2,2,1,2,2,4,2,1,1,NA,2,NA,"Deriva del estudio TILDA",0,0,"agree"
"Factors associated with healthy aging in septuagenarian and nonagenarian Mexican adults.",1,1,1,1,2,2,1,1,1,1,2,1,1,2,NA,1,NA,NA,1,1,"agree"
"Factors Influencing Longitudinal Stair Climb Performance from Midlife to Early Late Life: The Study of Women's Health Across the Nation Chicago and Michigan Sites.",1,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"Derivado del estudio CRELES, the “Costa Rican Study on Longevity and Healthy Aging”",0,0,"agree"
"Fibroblast Growth Factor 23 and Blood Pressure in Older Adults: The Health, Aging, and Body Composition Study.",1,1,2,2,2,1,2,2,2,2,3,1,1,1,NA,2,NA,"Es parte del estudio general Healthy Aging and Body Composition Study., ene set artículo no to a puntos de envejecimiento exitoso",0,0,"agree"
"Foot Problems in Older Adults Associations with Incident Falls, Frailty Syndrome, and Sensor-Derived Gait, Balance, and Physical Activity Measures.",1,1,2,2,2,2,2,1,2,2,5,2,2,1,NA,2,NA,"Estudio transversal derivado del Arizona Frailty Cohort Study",0,0,"agree"
"Friendships that money can buy: financial security protects health in retirement by enabling social connectedness.",2,1,2,2,2,3,2,3,2,2,1,2,2,1,NA,2,NA,NA,0,0,"agree"
"Gender difference and correlation between sexuality, thyroid hormones, cognitive, and physical functions in elderly fit.",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,1,NA,"No tiene en si definición sobre envejecimiento exitoso sin embargo utiliza variables que forman parte del concepto, valorarlo",0,0,"agree"
"Genetic profiles of longevity and healthy cognitive aging in nonagenarians from the Basque Country.",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,"Planteamiento de un estudio.",NA,0,0,"agree"
"Good Midlife Dietary Habits May Increase Likelihood of Healthy Aging.",2,2,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,"No se pude conseguir el abstract","No se encotró el artículo.",0,0,"agree"
"Grandparenting predicts late-life cognition: Results from the Women's Healthy Ageing Project.",1,1,2,2,2,2,2,2,2,2,4,2,1,1,NA,2,NA,"Transvlongitudinal prospective Women's Healthy Ageing Project (WHAP).ersal derivado del",0,0,"agree"
"Greater Periaortic Fat Volume at Midlife Is Associated with Slower Gait Speed Later in Life in Women: The SWAN Cardiovascular Fat Ancillary Study.",2,1,2,2,2,2,2,2,2,2,2,1,2,1,NA,2,NA,NA,0,0,"agree"
"Health behaviors and multimorbidity resilience among older adults using the Canadian Longitudinal Study on Aging.",1,1,2,2,2,2,2,2,2,2,4,2,1,1,NA,2,NA,"derivado del Canadian Longitudinal Study on Aging (CLSA)",0,0,"agree"
"Health, functional ability and life satisfaction among older people 65 years and over: a cross-sectional study.",1,1,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,NA,NA,0,0,"agree"
"Health, social and lifestyle factors in entry to residential aged care: an Australian longitudinal analysis.",1,1,2,2,2,2,2,2,2,2,2,1,1,2,NA,2,NA,"Utiliza HR",0,0,"agree"
"Healthy aging attenuates task-related specialization in the human medial temporal lobe.",2,1,2,2,2,2,2,2,2,2,4,1,2,2,NA,2,NA,NA,0,0,"agree"
"Healthy aging in elderly cochlear implant recipients: a multinational observational study.",1,1,2,2,2,2,2,2,1,2,1,2,2,2,NA,2,"Protcolo",NA,0,0,"agree"
"Higher Levels of Endogenous Estradiol are Associated with Frailty in Postmenopausal Women from the Toledo Study for Healthy Aging.  Miscellaneous Article",2,1,2,2,2,2,2,1,2,2,4,1,1,1,NA,2,NA,NA,0,0,"agree"
"Housing and Care for Older Women in Australia.",1,1,2,2,2,2,2,1,2,2,1,2,2,1,NA,2,NA,"Deriva del Australian Longitudinal Study on Women's Health",0,0,"agree"
"Impact of dopamine-related genetic variants on physical activity in old age - a cohort study.",1,1,2,2,2,2,2,2,2,2,4,1,1,2,NA,2,NA,NA,0,0,"agree"
"Impact of morbidity and life events on successful aging.",1,1,1,1,3,1,3,2,1,1,3,1,2,1,NA,1,NA,"deriva del Survey of Health and Living Status for the Elderly in Taiwan,",1,1,"agree"
"Impact of Social Isolation on Physical Functioning Among Older Adults: A 9-Year Longitudinal Study of a U.S.-Representative Sample.",1,1,2,2,2,2,2,1,2,2,1,1,1,1,NA,2,NA,NA,0,0,"agree"
"Impact of vertigo and dizziness on self-perceived participation and autonomy in older adults: results from the KORA-Age study.",1,1,2,2,2,2,2,2,2,2,4,1,1,1,NA,2,NA,NA,0,0,"agree"
"Impaired verbal episodic memory in healthy older adults is marked by increased F(2)-Isoprostanes.",1,1,2,2,2,2,2,2,2,2,4,2,2,1,NA,2,NA,NA,0,0,"agree"
"Inferior temporal tau is associated with accelerated prospective cortical thinning in clinically normal older adults.",1,1,2,2,2,2,2,2,2,2,1,2,1,2,NA,2,NA,NA,0,0,"agree"
"Inflammation, But Not Telomere Length, Predicts Successful Ageing at Extreme Old Age: A Longitudinal Study of Semi-supercentenarians.",1,1,1,1,3,2,3,2,1,1,1,1,2,1,NA,1,NA,"USA HR",1,1,"agree"
"Influence Of Exercise And Gardening Activity On Successful Aging: A Six-year Cohort Study: 3016 May 29 2:45 PM - 3:00 PM",1,1,1,1,2,2,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,"agree"
"Influence of individual and combined healthy behaviours on successful aging.",1,1,1,1,2,2,1,1,1,1,2,1,2,2,NA,1,NA,NA,1,1,"agree"
"Influence of visual impairment on mortality in the elderly aged 65 years and older in 8 longevity areas in China.",1,1,2,2,2,2,2,2,2,2,1,1,1,1,NA,2,NA,"USA HR",0,0,"agree"
"Influencing factors for depressive symptoms in the elderly aged 65 years and older in 8 longevity areas in China.",1,NA,2,NA,2,NA,2,NA,2,NA,4,NA,1,NA,NA,NA,NA,"ESTA EN CHINO",0,0,"agree"
"Intermittent Fasting Enhanced the Cognitive Function in Older Adults with Mild Cognitive Impairment by Inducing Biochemical and Metabolic changes: A 3-Year  Progressive Study.",1,1,2,2,2,2,2,2,2,2,1,1,2,1,NA,2,NA,NA,0,0,"agree"
"Interrelated factors favoring physical performance and activity in older adults from the NuAge cohort study.",1,1,2,2,2,2,2,2,2,2,4,1,1,1,NA,2,NA,"CONSEGUIR EL ESTUDIO NuAge",0,0,"agree"
"Is Bullying Victimization in Childhood Associated With Mental Health in Old Age.",1,1,2,2,2,2,2,1,2,2,4,1,2,1,NA,2,NA,"Deriva del China Health and Retirement Longitudinal Survey (CHARLS)",0,0,"agree"
"Is fat mass distribution related to impaired mobility in older men and women? Nutrition as a determinant of successful aging: the Quebec longitudinal study.",1,1,2,2,2,2,2,2,2,2,5,2,2,1,NA,2,NA,"Deriva del estudio NuAge",0,0,"agree"
"Lack of neural compensatory mechanisms of BDNF val66met met carriers and APOE E4 carriers in healthy aging, mild cognitive impairment, and Alzheimer's disease",1,1,2,2,2,3,2,3,2,2,3,1,2,2,NA,2,NA,NA,0,0,"agree"
"Late-life factors associated with healthy aging in older men.",1,1,1,1,3,1,3,2,1,1,1,1,2,1,NA,1,NA,NA,1,1,"agree"
"Leukocyte telomere length and ideal cardiovascular health in American Indians: the Strong Heart Family Study.",2,1,2,2,2,2,2,2,2,2,5,2,2,1,NA,2,NA,NA,0,0,"agree"
"Levels of and changes in life satisfaction predict mortality hazards: Disentangling the role of physical health, perceived control, and social orientation.",2,1,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,NA,"USA HR",0,0,"agree"
"Life satisfaction and frequency of doctor visits.",1,1,2,2,2,1,2,2,2,2,1,1,2,1,NA,2,NA,"Deriva del  Health and Retirement Study ",0,0,"agree"
"Lifestyle in mental health and injury prevention among the elderly in Gorenjska region.",1,1,2,1,2,3,2,3,2,2,2,1,2,2,NA,1,NA,"Buscar la versión en ingles.",0,0,"agree"
"Longitudinal Associations between Monetary Value of the Diet, DASH Diet Score and the Allostatic Load among Middle-Aged Urban Adults.",2,2,2,2,2,3,2,3,2,2,2,2,1,2,NA,2,NA,"Deriva de Healthy Aging in Neighborhoods of Diversity across the Life Span (HANDLS) study",0,0,"agree"
"Longitudinal brain volumetric changes during one year in non-elderly healthy adults: a voxel-based morphometry study.",2,1,2,2,2,2,2,2,2,2,3,2,2,1,NA,2,NA,NA,0,0,"agree"
"Longitudinal Change in Performance on the Montreal Cognitive Assessment in Older Adults.",1,1,2,2,2,2,2,2,2,2,1,1,1,1,NA,1,NA,"En el resumen no menciona los factores, valorar el artículo completo ya que menciona envejecimiento saludable.",0,0,"agree"
"Longitudinal change in the diet's monetary value is associated with its change in quality and micronutrient adequacy among urban adults.",1,1,2,2,2,2,2,2,2,2,1,1,1,1,NA,2,NA,NA,0,0,"agree"
"Longitudinal changes in odor identification performance and neuropsychological measures in aging individuals.",1,1,2,2,2,2,2,2,1,1,1,2,2,2,NA,2,NA,NA,0,0,"agree"
"Longitudinal comparative transcriptomics reveals unique mechanisms underlying extended healthspan in bats.",2,2,2,2,2,2,2,2,2,2,4,2,2,2,NA,2,NA,"es un estudio en mrcielagos",0,0,"agree"
"Long-term athletic training does not alter age-associated reductions of left-ventricular mid-diastolic lengthening or expansion at rest.",2,1,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,NA,NA,0,0,"agree"
"Low protein intake, physical activity, and physical function in European and North American community-dwelling older adults: a pooled analysis of four longitudinal aging cohorts.",1,1,2,2,2,2,2,2,2,2,1,1,1,1,NA,2,NA,"Usa HR",0,0,"agree"
"Lower Prescription Rates in Centenarians with Heart Failure and Heart Failure and Kidney Disease Combined: Findings from a Longitudinal Cohort Study of Very Old  Patients.",1,1,2,2,2,2,2,1,2,2,2,1,2,2,NA,2,NA,NA,0,0,"agree"
"Meaning in Life and Its Relationship With Physical, Mental, and Cognitive Functioning: A Study of 1,042 Community-Dwelling Adults Across the Lifespan.",1,1,2,2,2,2,2,2,2,2,4,2,1,1,NA,2,NA,"Remar a el estado cognitivo",0,0,"agree"
"Measurement of hippocampal atrophy using 4D graph-cut segmentation: application to ADNI.",2,1,2,2,2,2,2,2,2,2,5,2,2,2,NA,2,NA,NA,0,0,"agree"
"Measuring cognitive performance in way that incorporates the concept of active and healthy ageing (AHA).",1,1,2,2,2,2,2,2,2,2,4,2,1,2,NA,2,NA,NA,0,0,"agree"
