titulo,autor,co_autores,ano_pub,DOI,revista
Associations of Lifestyle Behaviour and Healthy Ageing in Five Latin American and the Caribbean Countries-A 10/66 Population-Based Cohort Study.,Daskalopoulou,"Daskalopoulou, Christina; Koukounari, Artemis; Ayuso-Mateos, José Luis; Prince, Martin; Prina, A. Matthew",2018,10.3390/nu10111593,Nutrients
Sociodemographic Factors Associated With Changes in Successful Aging in Spain: A Follow-Up Study.,DomÃ¨nech-Abella,"Domènech-Abella, Joan; Perales, Jaime; Lara, Elvira; Moneta, Maria Victoria; Izquierdo, Ana; Rico-Uribe, Laura Alejandra; Mundó, Jordi; Haro, Josep Maria",2018,10.1177/0898264317714327,Journal of aging and health
The impact of socioeconomic status on the association between biomedical and psychosocial well-being and all-cause mortality in older Spanish adults.,DomÃ©nech-Abella,"Doménech-Abella, Joan; Mundó, Jordi; Moneta, Maria Victoria; Perales, Jaime; Ayuso-Mateos, José Luis; Miret, Marta; Haro, Josep Maria; Olaya, Beatriz",2018,10.1007/s00127-018-1480-7,Social psychiatry and psychiatric epidemiology
A model of successful ageing in British populations.,Doyle,"Doyle, Yvonne G.; Mc Kee, Martin; Sherriff, Martyn",2012,10.1093/eurpub/ckq132,European Journal of Public Health
The challenge of maintaining successful aging at 87 years old: the Octabaix study two-year follow-up.,Formiga,"Formiga, Francesc; Ferrer, Assumpta; Alburquerque, Jesus; Fernández-Quevedo, Manuel; Royo, Cristina; Pujol, Ramón",2012,10.1089/rej.2012.1343,Rejuvenation Research
The NonaSantfeliu study. Baseline assessment and ten years of follow-up.,Formiga,"Formiga, Francesc; Ferrer, Assumpta; Lombarte, Inés; Fernández, Coral",2015,10.1016/j.regg.2014.03.006,Revista espanola de geriatria y gerontologia
"Decomposition of Mediterranean Dietary Pattern on Successful Aging, Among Older Adults: A Combined Analysis of Two Epidemiological Studies.",Foscolou,"Foscolou, Alexandra; Koloverou, Efi; Matalas, Antonia-Leda; Tyrovolas, Stefanos; Chrysohoou, Christina; Sidossis, Labros; Rallidis, Loukianos; Panagiotakos, Demosthenes B.",2019,10.1177/0898264318780608,Journal of aging and health
Adherence to Dietary Guidelines and Successful Aging Over 10 Years.,Gopinath,"Gopinath, Bamini; Russell, Joanna; Kifley, Annette; Flood, Victoria M.; Mitchell, Paul",2016,10.1093/gerona/glv189,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Association Between Carbohydrate Nutrition and Successful Aging Over 10 Years.,Gopinath,"Gopinath, Bamini; Flood, Victoria M.; Kifley, Annette; Louie, Jimmy C. Y.; Mitchell, Paul",2016,10.1093/gerona/glw091,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Association between vision and hearing impairment and successful aging over five years.,Gopinath,"Gopinath, Bamini; Liew, Gerald; Burlutsky, George; McMahon, Catherine M.; Mitchell, Paul",2021,10.1016/j.maturitas.2020.10.015,Maturitas
Profile and determinants of successful aging in the Ibadan Study of Ageing.,Gureje,"Gureje, Oye; Oladeji, Bibilola D.; Abiona, Taiwo; Chatterji, Somnath",2014,10.1111/jgs.12802,Journal of the American Geriatrics Society
Cognitive and non-cognitive factors contributing to the longitudinal identification of successful older adults in the betula study.,Habib,"Habib, Reza; Nyberg, Lars; Nilsson, Lars-Göran",2007,10.1080/13825580600582412,"Neuropsychology, development, and cognition. Section B, Aging, neuropsychology and cognition"
Taking up physical activity in later life and healthy ageing: the English longitudinal study of ageing.,Hamer,"Hamer, Mark; Lavoie, Kim L.; Bacon, Simon L.",2014,10.1136/bjsports-2013-092993,British journal of sports medicine
"Dietary quality, lifestyle factors and healthy ageing in Europe: the SENECA study.",Haveman-Nies,Haveman-Nies A; de Groot LCP; van Staveren WA,2003,10.1093/ageing/32.4.427,Age & Ageing
"Life and living in advanced age: a cohort study in New Zealand--e Puāwaitanga o Nga Tapuwae Kia Ora Tonu, LiLACS NZ: study protocol.",Hayman,"Hayman, Karen J.; Kerse, Ngaire; Dyall, Lorna; Kepa, Mere; Teh, Ruth; Wham, Carol; Clair, Valerie Wright-St; Wiles, Janine; Keeling, Sally; Connolly, Martin J.; Wilkinson, Tim J.; Moyes, Simon; Broad, Joanna B.; Jatrana, Santosh",2012,10.1186/1471-2318-12-33,BMC Geriatrics
Diabetes and ageing in the Melbourne Collaborative Cohort Study (MCCS).,Hodge,"Hodge, Allison M.; Flicker, Leon; O'Dea, Kerin; English, Dallas R.; Giles, Graham G.",2013,10.1016/j.diabres.2013.03.024,Diabetes Research & Clinical Practice
Dietary patterns as predictors of successful ageing.,Hodge,"Hodge, A. M.; O'Dea, K.; English, D. R.; Giles, G. G.; Flicker, L.",2014,10.1007/s12603-013-0405-0,"Journal of Nutrition, Health & Aging"
Social connectedness and predictors of successful ageing.,Hodge,"Hodge, Allison M.; English, Dallas R.; Giles, Graham G.; Flicker, Leon",2013,10.1016/j.maturitas.2013.05.002,Maturitas
Impact of morbidity and life events on successful aging.,Hsu,"Hsu, Hui-Chuan",2011,10.1177/1010539511412575,Asia-Pacific journal of public health
Predicted factors for older Taiwanese to be healthy octogenarians: Results of an 18-year national cohort study.,Hsu,"Hsu, Wei-Chung; Tsai, Alan C.; Chen, Yu-Chia; Wang, Jiun-Yi",2017,10.1111/ggi.13112,Geriatrics & gerontology international
Optimism and Healthy Aging in Women.,James,"James, Peter; Kim, Eric S.; Kubzansky, Laura D.; Zevon, Emily S.; Trudel-Fitzgerald, Claudia; Grodstein, Francine",2019,10.1016/j.amepre.2018.07.037,American journal of preventive medicine
Long-term assessment of inflammation and healthy aging in late life: the Cardiovascular Health Study All Stars.,Jenny,"Jenny, Nancy S.; French, Benjamin; Arnold, Alice M.; Strotmeyer, Elsa S.; Cushman, Mary; Chaves, Paulo H. M.; Ding, Jingzhong; Fried, Linda P.; Kritchevsky, Stephen B.; Rifkin, Dena E.; Sarnak, Mark J.; Newman, Anne B.",2012,10.1093/gerona/glr261,Journals of Gerontology Series A: Biological Sciences & Medical Sciences
Associations of overweight and metabolic health with successful aging: 32-year follow-up of the Helsinki Businessmen Study.,JyvÃ¤korpi,"Jyväkorpi, Satu K.; Urtamo, Annele; Strandberg, Arto Y.; von Bonsdorff, Mikaela; Salomaa, Veikko; Kivimäki, Mika; Luotola, Kari; Strandberg, Timo E.",2020,10.1016/j.clnu.2019.06.011,Clinical Nutrition
Optimism and Healthy Aging in Women and Men.,Kim,"Kim, Eric S.; James, Peter; Zevon, Emily S.; Trudel-Fitzgerald, Claudia; Kubzansky, Laura D.; Grodstein, Francine",2019,10.1093/aje/kwz056,American journal of epidemiology
Socioeconomic inequalities in a 16-year longitudinal measurement of successful ageing.,Kok,"Kok, Almar A. L.; Aartsen, Marja J.; Deeg, Dorly J. H.; Huisman, Martijn",2016,10.1136/jech-2015-206938,Journal of epidemiology and community health
The Effects of Life Events and Socioeconomic Position in Childhood and Adulthood on Successful Aging.,Kok,"Kok, Almar A. L.; Aartsen, Marja J.; Deeg, Dorly J. H.; Huisman, Martijn",2017,10.1093/geronb/gbw111,"The journals of gerontology. Series B, Psychological sciences and social sciences"
"Social determinants, health status and 10-year mortality among 10,906 older adults from the English longitudinal study of aging: the ATHLOS project.",Kollia,"Kollia, Natasa; Caballero, Francisco Félix; Sánchez-Niubó, Albert; Tyrovolas, Stefanos; Ayuso-Mateos, José Luis; Haro, Josep Maria; Chatterji, Somnath; Panagiotakos, Demosthenes B.",2018,10.1186/s12889-018-6288-6,BMC public health
Age-Related Alterations in Endocrine Markers Do Not Match Changes in Psychosocial Measures: Findings From the Men's Health 40+ Longitudinal Study.,Lacker,"Lacker, T. J.; Walther, A.; Ehlert, U.",2020,10.1177/1557988320926332,American journal of men's health
"Mental health in the aged: prevalence, covariates and related neuroendocrine, cardiovascular and inflammatory factors of successful aging.",Lacruz,"Lacruz, Maria E.; Emeny, Rebecca T.; Bickel, Horst; Cramer, Barbara; Kurz, Alexander; Bidlingmaier, Martin; Huber, Dorothea; Klug, Günther; Peters, Annette; Ladwig, Karl H.",2010,10.1186/1471-2288-10-36,BMC medical research methodology
Serial circulating omega 3 polyunsaturated fatty acids and healthy ageing among older adults in the Cardiovascular Health Study: prospective cohort study.,Lai,"Lai, Heidi Tm; de Oliveira Otto, Marcia C.; Lemaitre, Rozenn N.; McKnight, Barbara; Song, Xiaoling; King, Irena B.; Chaves, Paulo Hm; Odden, Michelle C.; Newman, Anne B.; Siscovick, David S.; Mozaffarian, Dariush",2018,10.1136/bmj.k4067,BMJ (Clinical research ed.)
Association of 10-Year C-Reactive Protein Trajectories With Markers of Healthy Aging: Findings From the English Longitudinal Study of Aging.,Lassale,"Lassale, Camille; Batty, G. David; Steptoe, Andrew; Cadar, Dorina; Akbaraly, Tasnime N.; Kivimäki, Mika; Zaninotto, Paola",2019,10.1093/gerona/gly028,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Evaluation of successful aging among older people in China: Results from China health and retirement longitudinal study.,Liu,"Liu, Huaqing; Byles, Julie E.; Xu, Xiaoyue; Zhang, Min; Wu, Xuesen; Hall, John J.",2017,10.1111/ggi.12848,Geriatrics & Gerontology International
What factors influence healthy aging? A person-centered approach among older adults in Taiwan.,Liu,"Liu, Li-Fan; Su, Pei-Fang",2017,10.1111/ggi.12774,Geriatrics & gerontology international
Social Participation and Healthy Aging Among the Older Japanese:  The Ohsaki Cohort 2006 Study,Lu,"Lu, Yukai; Matsuyama, Sanae MS; Tanji, Fumiya; Otsuka, Tatsui; Tomata, Yasutake; Tsuji, Ichiro",NA,10.1093/gerona/glab101,Journals of Gerontology
"Adult height, dietary patterns, and healthy aging.",Ma,"Ma, Wenjie; Hagan, Kaitlin A.; Heianza, Yoriko; Sun, Qi; Rimm, Eric B.; Qi, Lu",2017,10.3945/ajcn.116.147256,The American journal of clinical nutrition
Educational differences in trajectories and determinants of healthy ageing in midlife and older Americans.,McLaughlin,"McLaughlin, Sara J.; Kim, Seonjin; Li, Lydia W.; Zhang, Jiaan",2020,10.1016/j.maturitas.2020.01.002,Maturitas
Contribution of education to health and life satisfaction in older adults mediated by negative affect.,Meeks,Meeks S; Murrell SA,2001,10.1177/089826430101300105,Journal of Aging & Health
"Successful Aging as the Intersection of Individual Resources, Age, Environment, and Experiences of Well-being in Daily Activities.",MejÃ­a,"Mejía, Shannon T.; Ryan, Lindsay H.; Gonzalez, Richard; Smith, Jacqui",2017,10.1093/geronb/gbw148,"The journals of gerontology. Series B, Psychological sciences and social sciences"
The impact of physical activity on healthy ageing trajectories: evidence from eight cohort studies.,Moreno-Agostino,"Moreno-Agostino, Darío; Daskalopoulou, Christina; Wu, Yu-Tzu; Koukounari, Artemis; Haro, Josep Maria; Tyrovolas, Stefanos; Panagiotakos, Demosthenes B.; Prince, Martin; Prina, A. Matthew",2020,10.1186/s12966-020-00995-8,The international journal of behavioral nutrition and physical activity
Association between successful aging transitions and depressive symptoms among older Korean adults: findings from the Korean longitudinal study of aging (2006-2018).,Nari,"Nari, Fatima; Jang, Bich Na; Kim, Selin; Jeong, Wonjeong; Jang, Sung-In; Park, Eun-Cheol",2021,10.1186/s12877-021-02250-6,BMC geriatrics
Successful aging: effect of subclinical cardiovascular disease.,Newman,"Newman, Anne B.; Arnold, Alice M.; Naydeck, Barbara L.; Fried, Linda P.; Burke, Gregory L.; Enright, Paul; Gottdiener, John; Hirsch, Calvin; O'Leary, Daniel; Tracy, Russell",2003,10.1001/archinte.163.19.2315,Archives of internal medicine
Determinants of successful aging using a multidimensional definition among Chinese elderly in Singapore.,Ng,"Ng, Tze Pin; Broekman, Birit F. P.; Niti, Matthew; Gwee, Xinyi; Kua, Ee Heok",2009,10.1097/JGP.0b013e31819a808e,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry
The change and correlates of healthy ageing among Chinese older adults: findings from the China health and retirement longitudinal study.,Nie,"Nie, Peng; Li, Yan; Zhang, Nan; Sun, Xiaomin; Xin, Bao; Wang, Youfa",2021,10.1186/s12877-021-02026-y,BMC Geriatrics
A Longitudinal Examination of the Effects of Early Influences and Midlife Characteristics on Successful Aging.,Pruchno,"Pruchno, Rachel A.; Wilson-Genderson, Maureen",2015,10.1093/geronb/gbu046,"The journals of gerontology. Series B, Psychological sciences and social sciences"
Determinant factors for healthy aging among senior citizens in a large city: the Epidoso Project in São Paulo.,Ramos,"Ramos, Luiz Roberto",2003,10.1590/s0102-311x2003000300011,Cadernos de saude publica
Sixteen-year predictors of successful aging from a southern Brazilian cohort: The PALA study,Rinaldi,"Rinaldi, Juciclara; do Canto Souza, Gabriele; Camozzato, Ana Luiza; Chaves, Marcia Lorena Fagundes",2018,10.1590/1980-57642018dn12-030002,Dementia & Neuropsychologia
Prospective association between body mass index at midlife and healthy aging among French adults.,Ruhunuhewa,"Ruhunuhewa, Indunil; Adjibade, Moufidath; Andreeva, Valentina A.; Galan, Pilar; Hercberg, Serge; Assmann, Karen E.; Kesse-Guyot, Emmanuelle",2017,10.1002/oby.21853,"Obesity (Silver Spring, Md.)"
Influence of individual and combined healthy behaviours on successful aging.,Sabia,"Sabia, Séverine; Singh-Manoux, Archana; Hagger-Johnson, Gareth; Cambois, Emmanuelle; Brunner, Eric J.; Kivimaki, Mika",2012,10.1503/cmaj.121080,CMAJ: Canadian Medical Association Journal
Long-lasting active lifestyle and successful cognitive aging in a healthy elderly population: The PROOF cohort.,Saint,"Saint Martin, M.; Sforza, E.; Barthélémy, J. C.; Roche, F.; Lefèvre, P.; Liénard, G.; Thomas-Anterion, C.",2017,10.1016/j.neurol.2017.05.009,Revue neurologique
Cystatin C and aging success.,Sarnak,"Sarnak, Mark J.; Katz, Ronit; Fried, Linda F.; Siscovick, David; Kestenbaum, Brian; Seliger, Stephen; Rifkin, Dena; Tracy, Russell; Newman, Anne B.; Shlipak, Michael G.",2008,10.1001/archinternmed.2007.40,Archives of internal medicine
Associations of parental ages at childbirth with healthy aging among women.,Shadyab,"Shadyab, Aladdin H.; Manson, JoAnn E.; Li, Wenjun; Gass, Margery; Brunner, Robert L.; Naughton, Michelle J.; Cannell, Brad; Howard, Barbara V.; LaCroix, Andrea Z.",2019,10.1016/j.maturitas.2019.08.002,Maturitas
Parental longevity predicts healthy ageing among women.,Shadyab,"Shadyab, Aladdin H.; Manson, JoAnn E.; Li, Wenjun; Gass, Margery; Brunner, Robert L.; Naughton, Michelle J.; Cannell, Brad; Howard, Barbara V.; LaCroix, Andrea Z.",2018,10.1093/ageing/afy125,Age and ageing
Approaches in methodology for population-based longitudinal study on neuroprotective model for healthy longevity (TUA) among Malaysian Older Adults.,Shahar,"Shahar, Suzana; Omar, Azahadi; Vanoh, Divya; Hamid, Tengku Aizan; Mukari, Siti Zamratol Mai-Sarah; Din, Normah Che; Rajab, Nor Fadilah; Mohammed, Zainora; Ibrahim, Rahimah; Loo, Won Hui; Meramat, Asheila; Kamaruddin, Mohd Zul Amin; Bagat, Mohamad Fazdillah; Razali, Rosdinom",2016,10.1007/s40520-015-0511-4,Aging clinical and experimental research
Association of body mass index and waist circumference with successful aging.,Singh-Manoux,"Singh-Manoux, Archana; Sabia, Séverine; Bouillon, Kim; Brunner, Eric J.; Grodstein, Francine; Elbaz, Alexis; Kivimaki, Mika",2014,10.1002/oby.20651,"Obesity (Silver Spring, Md.)"
"Associations with successful ageing in the """"""""Healthy Old People in Edinburgh"""""""" cohort: being well, fit and healthy.",Starr,"Starr, John M.; Deary, Ian J.; Macintyre, Sally",2003,10.1007/BF03324519,Aging clinical and experimental research
Abstract 12233:  Low Cardiovascular Risk in Midlife Predicts Active and Healthy Aging,Strandberg,"Strandberg, Timo; Rantanen, Kirsi",2015,NA,Circulation
British Columbia CARMA-CHIWOS Collaboration (BCC3): protocol for a community-collaborative cohort study examining healthy ageing with and for women living with HIV.,Swann,"Swann, Shayda A; Kaida, Angela; Nicholson, Valerie; Brophy, Jason; Campbell, Amber R; Carter, Allison; Elwood, Chelsea; Gebremedhen, Tsion; Gormley, Rebecca; King, Elizabeth M; Lee, Melanie; Lee, Vonnie; Maan, Evelyn J; Magagula, Patience; Nyman, Sheila; Pang, Davi; Pick, Neora; Povshedna, Tetiana; Prior, Jerilynn C; Singer, Joel; Tognazzini, Shelly; Murray, Melanie C M; Cote, Helene C F",2021,10.1136/bmjopen-2020-046558,BMJ open
"Trajectories of the healthy ageing phenotype among middle-aged and older Britons, 2004-2013.",Tampubolon,"Tampubolon, Gindo",2016,10.1016/j.maturitas.2016.03.002,Maturitas
Is it possible to overcome the 'long arm' of childhood socioeconomic disadvantage through upward socioeconomic mobility?,Vable,"Vable, Anusha M.; Gilsanz, Paola; Kawachi, Ichiro",2019,10.1093/pubmed/fdz018,"Journal of public health (Oxford, England)"
Successful aging.,Vaillant,Vaillant GE; Mukamal K,2001,10.1176/appi.ajp.158.6.839,American Journal of Psychiatry
Association between northern Manhattan study global vascular risk score and successful aging.,Warsch,"Warsch, Jessica R. L.; Rundek, Tatjana; Paik, Myunghee C.; Elkind, Mitchell S. V.; Sacco, Ralph L.; Wright, Clinton B.",2013,10.1111/jgs.12166,Journal of the American Geriatrics Society
Predictors and characteristics of successful aging among men: a 48-year longitudinal study.,Westermeyer,"Westermeyer, Jerry F.",2013,10.2190/AG.76.4.c,International journal of aging & human development
"The role of income and occupation in the association of education with healthy aging: results from a population-based, prospective cohort study.",White,"White, Christine M.; St John, Philip D.; Cheverie, Madelon R.; Iraniparast, Maryam; Tyas, Suzanne L.",2015,10.1186/s12889-015-2504-9,BMC Public Health
Associations of Successful Aging With Socioeconomic Position Across the Life-Course: The West of Scotland Twenty-07 Prospective Cohort Study.,Whitley,"Whitley, Elise; Benzeval, Michaela; Popham, Frank",2018,10.1177/0898264316665208,Journal of aging and health
Comparison of the Rowe-Kahn Model of Successful Aging With Self-rated Health and Life Satisfaction: The West of Scotland Twenty-07 Prospective Cohort Study.,Whitley,"Whitley, Elise; Popham, Frank; Benzeval, Michaela",2016,10.1093/geront/gnv054,The Gerontologist
A salutogenic inquiry into positive aging - a longitudinal analysis.,Wiesmann,"Wiesmann, Ulrich; Hannich, Hans-Joachim",2019,10.1080/13607863.2018.1501667,Aging & mental health
The onset of widespread musculoskeletal pain is associated with a decrease in healthy ageing in older people: a population-based prospective study.,Wilkie,"Wilkie, Ross; Tajar, Abdelouahid; McBeth, John",2013,10.1371/journal.pone.0059858,PloS one
"Caloric Restriction, the Traditional Okinawan Diet, and Healthy Aging: The Diet of the World's Longest-Lived People and Its Potential Impact on Morbidity and Life Span.  Miscellaneous Article",Willcox,"Willcox, BRADLEY J. a; Willcox, D. CRAIG a; Todoriki, HIDEMI d; Fujiyoshi, AKIRA b; Yano, KATSUHIKO a; He, QIMEI a; Curb, J. DAVID a; Suzuki, MAKOTO e",2007,NA,Annals of the New York Academy of Sciences
Education and wealth inequalities in healthy ageing in eight harmonised cohorts in the ATHLOS consortium: a population-based study.,Wu,"Wu, Yu-Tzu; Daskalopoulou, Christina; Muniz Terrera, Graciela; Sanchez Niubo, Albert; Rodríguez-Artalejo, Fernando; Ayuso-Mateos, Jose Luis; Bobak, Martin; Caballero, Francisco Félix; de la Fuente, Javier; de la Torre-Luque, Alejandro; García-Esquinas, Esther; Haro, Jose Maria; Koskinen, Seppo; Koupil, Ilona; Leonardi, Matilde; Pajak, Andrzej; Panagiotakos, Demosthenes; Stefler, Denes; Tobias-Adamczyk, Beata; Prince, Martin; Prina, A. Matthew",2020,10.1016/S2468-2667(20)30077-3,The Lancet. Public health
Influence Of Exercise And Gardening Activity On Successful Aging: A Six-year Cohort Study: 3016 May 29 2:45 PM - 3:00 PM,Yang,"Yang, Yuxin; Wen, Xu",2020,10.1249/01.mss.0000684580.61554.43,Medicine & Science in Sports & Exercise
Associations of Weight Gain From Early to Middle Adulthood With Major Health Outcomes Later in Life.,Zheng,"Zheng, Yan; Manson, JoAnn E.; Yuan, Changzheng; Liang, Matthew H.; Grodstein, Francine; Stampfer, Meir J.; Willett, Walter C.; Hu, Frank B.",2017,10.1001/jama.2017.7092,JAMA
Association Between Dietary Patterns in Midlife and Healthy Ageing in Chinese Adults: The Singapore Chinese Health Study.,Zhou,"Zhou, Yan-Feng; Song, Xing-Yue; Wu, Jing; Chen, Guo-Chong; Neelakantan, Nithya; van Dam, Rob M.; Feng, Lei; Yuan, Jian-Min; Pan, An; Koh, Woon-Puay",2021,10.1016/j.jamda.2020.09.045,Journal of the American Medical Directors Association
