Title,Author,Publication Year,DOI,Publication Title
There Are No Nonresponders to Resistance-Type Exercise Training in Older Men and Women.,"Churchward-Venne, Tyler A.; Tieland, Michael; Verdijk, Lex B.; Leenders, Marika; Dirks, Marlou L.; de Groot, Lisette C. P. G. M.; van Loon, Luc J. C.",2015,10.1016/j.jamda.2015.01.071,Journal of the American Medical Directors Association
Theory and Design of the Community for successful ageing (ComSA) program in Singapore: connecting BioPsychoSocial health and quality of life experiences of  older adults.,"Aw, Su; Koh, Gerald C. H.; Tan, Chuen Seng; Wong, Mee Lian; Vrijhoef, Hubertus J. M.; Harding, Susana Concordo; Geronimo, Mary Ann B.; Hildon, Zoe J. L.",2019,10.1186/s12877-019-1277-x,BMC geriatrics
The Women's Healthy Ageing Project: Fertile ground for investigation of healthy participants 'at risk' for dementia.,"Szoeke, Cassandra E. I.; Robertson, Joanne S.; Rowe, Christopher C.; Yates, Paul; Campbell, Katherine; Masters, Colin L.; Ames, David; Dennerstein, Lorraine; Desmond, Patricia",2013,10.3109/09540261.2013.873394,International Review of Psychiatry
The UK Adult Twin Registry (TwinsUK Resource).,"Moayyeri, Alireza; Hammond, Christopher J.; Hart, Deborah J.; Spector, Timothy D.",2013,10.1017/thg.2012.89,Twin research and human genetics : the official journal of the International Society for Twin Studies
The trajectory of negative mood and depressive symptoms over two decades.,"Campbell, Katherine E.; Dennerstein, Lorraine; Tacey, Mark; Szoeke, Cassandra E.",2017,10.1016/j.maturitas.2016.10.011,Maturitas
The Swedish Aging With Spinal Cord Injury Study (SASCIS): Methodology and Initial Results.,"Jörgensen, Sophie; Iwarsson, Susanne; Norin, Lizette; Lexell, Jan",2016,10.1016/j.pmrj.2015.10.014,"PM & R : the journal of injury, function, and rehabilitation"
The Successful Aging After Elective Surgery Study: Cohort Description and Data Quality Procedures.,"Schmitt, Eva M.; Saczynski, Jane S.; Kosar, Cyrus M.; Jones, Richard N.; Alsop, David C.; Fong, Tamara G.; Metzger, Eran; Cooper, Zara; Marcantonio, Edward R.; Travison, Thomas; Inouye, Sharon K.; Arnold, Steven; Dickerson, Bradford; Pascual‐Leone, Alvaro; Cavallari, Michele; Dai, Weiying; Dillon, Simon T.; McElhaney, Janet; Guttmann, Charles; Hshieh, Tammy",2015,10.1111/jgs.13793,Journal of the American Geriatrics Society
"The structure of the Hospital Anxiety and Depression Scale in four cohorts of community-based, healthy older people: the HALCyon program.","Gale, Catharine R.; Allerhand, Michael; Sayer, Avan Aihie; Cooper, Cyrus; Dennison, Elaine M.; Starr, John M.; Ben-Shlomo, Yoav; Gallacher, John E.; Kuh, Diana; Deary, Ian J.",2010,10.1017/S1041610210000256,International psychogeriatrics
The structure of subjective well-being in middle adulthood.,"Schmitt, M.; Jüchtern, J. C.",2001,10.1080/13607860020020645,Aging & mental health
"The role of income and occupation in the association of education with healthy aging: results from a population-based, prospective cohort study.","White, Christine M.; St John, Philip D.; Cheverie, Madelon R.; Iraniparast, Maryam; Tyas, Suzanne L.",2015,10.1186/s12889-015-2504-9,BMC Public Health
The role of APOE-epsilon4 in longitudinal cognitive decline: MacArthur Studies of Successful Aging.,"Bretsky, P; Guralnik, J M; Launer, L; Albert, M; Seeman, T E; MacArthur Studies of Successful Aging",2003,"",Neurology
The relationship between sensory-processing patterns and occupational engagement among older persons.,"Engel-Yeger, Batya; Rosenblum, Sara",2017,10.1177/0008417417690415,Canadian Journal of Occupational Therapy
The relationship between gait dynamics and future cognitive decline: a prospective pilot study in geriatric patients.,"Kikkert, Lisette H. J.; Vuillerme, Nicolas; van Campen, Jos P.; Appels, Bregje A.; Hortobágyi, Tibor; Lamoth, Claudine J. C.",2018,10.1017/S1041610217002770,International psychogeriatrics
The relationship between cognitive and physical performance: MacArthur Studies of Successful Aging.,"Tabbarah, Melissa; Crimmins, Eileen M.; Seeman, Teresa E.",2002,10.1093/gerona/57.4.m228,"The journals of gerontology. Series A, Biological sciences and medical sciences"
The relation between everyday activities and successful aging: a 6-year longitudinal study.,"Menec, Verena H.",2003,10.1093/geronb/58.2.s74,"The journals of gerontology. Series B, Psychological sciences and social sciences"
The prospective and concurrent effect of exercise on health related quality of life in older adults over a 3 year period.,"Vasiliadis, Helen-Maria; Bélanger, Mathieu F.",2018,10.1186/s12955-018-0843-9,Health & Quality of Life Outcomes
"The prevalence, trends and determinants of mental health disorders in older Australians living in permanent residential aged care: Implications for policy and quality of aged care services.","Amare, Azmeraw T; Caughey, Gillian E; Whitehead, Craig; Lang, Catherine E; Bray, Sarah CE; Corlis, Megan; Visvanathan, Renuka; Wesselingh, Steve; Inacio, Maria C",2020,10.1177/0004867420945367,Australian & New Zealand Journal of Psychiatry
The Predictive Value of Sarcopenia and Its Individual Criteria for Cardiovascular and All-Cause Mortality in Suburb-dwelling Older Chinese.,"Han, P.; Chen, X.; Yu, X.; Zhang, Y.; Song, P.; Cai, M.; Liang, L.; Liang, Z.; Yang, R.; Jin, F.; Wang, L.; Guo, Q.",2020,10.1007/s12603-020-1390-8,"The journal of nutrition, health & aging"
The paradox of aging and health-related quality of life in Asian Chinese: results from the Healthy Aging Longitudinal Study in Taiwan.,"Tseng, Han-Yun; Löckenhoff, Corinna; Lee, Chun-Yi; Yu, Shu-Han; Wu, I.-Chien; Chang, Hsing-Yi; Chiu, Yen-Feng; Hsiung, Chao Agnes",2020,10.1186/s12877-020-1446-y,BMC geriatrics
The ODIN project: Development of food-based approaches for prevention of vitamin D deficiency throughout life.,"Kiely, M.; Cashman, K. D.",2015,10.1111/nbu.12159,Nutrition Bulletin
"The NutriAct Family Study: a web-based prospective study on the epidemiological, psychological and sociological basis of food choice.","Schwingshackl, Lukas; Ruzanska, Ulrike; Anton, Verena; Wallroth, Raphael; Ohla, Kathrin; Knüppel, Sven; Schulze, Matthias B.; Pischon, Tobias; Deutschbein, Johannes; Schenk, Liane; Warschburger, Petra; Harttig, Ulrich; Boeing, Heiner; Bergmann, Manuela M.",2018,10.1186/s12889-018-5814-x,BMC public health
The nature and cross-domain correlates of subjective age in the oldest old: Evidence from the OCTO Study.,"Infurna, Frank J.; Gerstorf, Denis; Robertson, Suzanne; Berg, Stig; Zarit, Steven H.",2010,10.1037/a0017979,Psychology and aging
The memory fitness program: cognitive effects of a healthy aging intervention.,"Miller, Karen J; Siddarth, Prabha; Gaines, Jean M; Parrish, John M; Ercoli, Linda M; Marx, Katherine; Ronch, Judah; Pilgram, Barbara; Burke, Kasey; Barczak, Nancy; Babcock, Bridget; Small, Gary W",2012,10.1097/JGP.0b013e318227f821,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry
"The Long-Term Benefits of a Multicomponent Physical Activity Program to Body Composition, Muscle Strength, Cardiorespiratory Capacity, and Bone Mineral Density  in a Group of Nonagenarians.","Cancela, Jose Maria; Perez, Carlos Ayán; Rodrigues, Luis Paulo; Bezerra, Pedro",2020,10.1089/rej.2019.2195,Rejuvenation research
The link between sexual satisfaction and subjective well-being: a longitudinal perspective based on the German Ageing Survey.,"Buczak-Stec, Elżbieta; König, Hans-Helmut; Hajek, André",2019,10.1007/s11136-019-02235-4,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation"
The influence of social networks and the built environment on physical inactivity: A longitudinal study of urban-dwelling adults.,"Josey, Michele J.; Moore, Spencer",2018,10.1016/j.healthplace.2018.08.016,Health & place
The Influence of Physical Activity and Sedentary Behavior on Living to Age 85 Years Without Disease and Disability in Older Women.,"Rillamas-Sun, Eileen; LaMonte, Michael J.; Evenson, Kelly R.; Thomson, Cynthia A.; Beresford, Shirley A.; Coday, Mathilda C.; Manini, Todd M.; Li, Wenjun; LaCroix, Andrea Z.",2018,10.1093/gerona/glx222,"The journals of gerontology. Series A, Biological sciences and medical sciences"
The impact of socioeconomic status on the association between biomedical and psychosocial well-being and all-cause mortality in older Spanish adults.,"Doménech-Abella, Joan; Mundó, Jordi; Moneta, Maria Victoria; Perales, Jaime; Ayuso-Mateos, José Luis; Miret, Marta; Haro, Josep Maria; Olaya, Beatriz",2018,10.1007/s00127-018-1480-7,Social psychiatry and psychiatric epidemiology
The impact of physical activity on healthy ageing trajectories: evidence from eight cohort studies.,"Moreno-Agostino, Darío; Daskalopoulou, Christina; Wu, Yu-Tzu; Koukounari, Artemis; Haro, Josep Maria; Tyrovolas, Stefanos; Panagiotakos, Demosthenes B.; Prince, Martin; Prina, A. Matthew",2020,10.1186/s12966-020-00995-8,The international journal of behavioral nutrition and physical activity
The impact of dysphagia on quality of life in ageing and Parkinson's disease as measured by the swallowing quality of life (SWAL-QOL) questionnaire.,"Leow, Li Pyn; Huckabee, Maggie-Lee; Anderson, Tim; Beckert, Lutz",2010,10.1007/s00455-009-9245-9,Dysphagia
The factors associated with self-reported physical activity in older adults living in the community.,"McKee, Gabrielle; Kearney, Patricia M.; Kenny, Rose Anne",2015,10.1093/ageing/afv042,Age and ageing
The effects of serum beta-carotene concentration and burden of inflammation on all-cause mortality risk in high-functioning older persons: MacArthur studies of  successful aging.,"Hu, Peifeng; Reuben, David B.; Crimmins, Eileen M.; Harris, Tamara B.; Huang, Mei-Hua; Seeman, Teresa E.",2004,10.1093/gerona/59.8.m849,"The journals of gerontology. Series A, Biological sciences and medical sciences"
The effect of trends in health and longevity on health services use by older adults.,"Wouterse, Bram; Huisman, Martijn; Meijboom, Bert R.; Deeg, Dorly J. H.; Polder, Johan J.",2015,10.1186/s12913-015-1239-8,BMC Health Services Research
The effect of social participation on the subjective and objective health status of the over-fifties: evidence from SHARE.,"LEONE, TIZIANA; HESSEL, PHILIPP",2016,10.1017/S0144686X15000148,Ageing & Society
The effect of midlife cardiovascular risk factors on white matter hyperintensity volume and cognition two decades later in normal ageing women.,"Aljondi, Rowa; Szoeke, Cassandra; Steward, Chris; Gorelik, Alexandra; Desmond, Patricia",2020,10.1007/s11682-018-9970-5,Brain Imaging & Behavior
The dynamic relationship between cognitive function and positive well-being in older people: a prospective study using the English Longitudinal Study of Aging.,"Allerhand, Mike; Gale, Catharine R.; Deary, Ian J.",2014,10.1037/a0036551,Psychology & Aging
"The dynamic interplay of social network characteristics, subjective well-being, and health: the costs and benefits of socio-emotional selectivity.","Huxhold, Oliver; Fiori, Katherine L.; Windsor, Tim D.",2013,10.1037/a0030170,Psychology & Aging
The consistency of definitions of successful aging provided by older men: the Manitoba follow-up study.,"Tate, Robert B.; Loewen, Brenda L.; Bayomi, Dennis J.; Payne, Barbara J.",2009,10.1017/S0714980809990225,Canadian journal on aging = La revue canadienne du vieillissement
"The COMTp.Vall58Met Polymorphism and Cognitive Performance in Adult Development, Healthy Aging and Mild Cognitive Impairment.","Degen, Christina; Zschocke, Johannes; Toro, Pablo; Sattler, Christine; Wahl, Hans-Werner; Schönknecht, Peter; Schröder, Johannes",2016,10.1159/000439585,Dementia & Geriatric Cognitive Disorders
The change and correlates of healthy ageing among Chinese older adults: findings from the China health and retirement longitudinal study.,"Nie, Peng; Li, Yan; Zhang, Nan; Sun, Xiaomin; Xin, Bao; Wang, Youfa",2021,10.1186/s12877-021-02026-y,BMC Geriatrics
The challenge of maintaining successful aging at 87 years old: the Octabaix study two-year follow-up.,"Formiga, Francesc; Ferrer, Assumpta; Alburquerque, Jesus; Fernández-Quevedo, Manuel; Royo, Cristina; Pujol, Ramón",2012,10.1089/rej.2012.1343,Rejuvenation Research
The association between social resources and cognitive change in older adults: evidence from the Charlotte County Healthy Aging Study.,Hughes TF; Andel R; Small BJ; Borenstein AR; Mortimer JA,2008,"",Journals of Gerontology Series B: Psychological Sciences & Social Sciences
The Alternative Healthy Eating Index and Physical Function Impairment in Men.,"Hagan, K. A.; Grodstein, F.",2019,10.1007/s12603-019-1185-y,"The journal of nutrition, health & aging"
"The """"10 Keys"""" to Healthy Aging: 24-Month Follow-Up Results From an Innovative Community-Based Prevention Program.","Robare, Joseph F.; Bayles, Constance M.; Newman, Anne B.; Williams, Kathy; Milas, Carole; Boudreau, Robert; McTigue, Kathleen; Albert, Steven M.; Taylor, Christopher; Kuller, Lewis H.",2011,10.1177/1090198110379575,Health Education & Behavior
Testosterone and Estrone Increase From the Age of 70 Years: Findings From the Sex Hormones in Older Women Study.,"Davis, Susan R.; Bell, Robin J.; Robinson, Penelope J.; Handelsman, David J.; Gilbert, Tom; Phung, James; Desai, Reena; Lockery, Jessica E.; Woods, Robyn L.; Wolfe, Rory S.; Reid, Christopher M.; Nelson, Mark R.; Murray, Anne M.; McNeil, John J.",2019,10.1210/jc.2019-00743,Journal of Clinical Endocrinology & Metabolism
Ten dimensions of health and their relationships with overall self-reported health and survival in a predominately religiously active elderly population: the Cache County memory study.,"Østbye, Truls; Krause, Katrina M.; Norton, Maria C.; Tschanz, JoAnn; Sanders, Linda; Hayden, Kathleen; Pieper, Carl; Welsh-Bohmer, Kathleen A.",2006,10.1111/j.1532-5415.2005.00583.x,Journal of the American Geriatrics Society
Temporal Dynamics of Motor Functioning and Cognitive Aging.,"Finkel, Deborah; Ernsth-Bravell, Marie; Pedersen, Nancy L.",2016,10.1093/gerona/glv110,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Task-switching ability protects against the adverse effects of pain on health: A longitudinal study of older adults.,"Boggero, Ian A.; Eisenlohr-Moul, Tory; Segerstrom, Suzanne C.",2016,10.1111/bjhp.12178,British Journal of Health Psychology
Taking up physical activity in later life and healthy ageing: the English longitudinal study of ageing.,"Hamer, Mark; Lavoie, Kim L.; Bacon, Simon L.",2014,10.1136/bjsports-2013-092993,British journal of sports medicine
Tailored Calendar Journals to Ascertain Falls Among Older Adults.,"Stark, Susan L.; Silianoff, Tara J.; Kim, H. Lyn; Conte, Jane W.; Morris, John C.",2015,10.1177/1539449214561764,"OTJR : occupation, participation and health"
Systemic Inflammation and Cardio-Renal Organ Damage Biomarkers in Middle Age Are Associated With Physical Capability Up to 9 Years Later.,"Kuh, Diana; Cooper, Rachel; Sattar, Naveed; Welsh, Paul; Hardy, Rebecca; Ben-Shlomo, Yoav",2019,10.1161/CIRCULATIONAHA.118.037332,Circulation
Swallow respiratory patterns and aging: presbyphagia or dysphagia?,"Leslie, Paula; Drinnan, Michael J.; Ford, Gary A.; Wilson, Janet A.",2005,10.1093/gerona/60.3.391,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Sustained personal autonomy: a measure of successful aging.,Ford AB; Haug MR; Stange KC; Gaines AD; Noekler LS; Jones PK,2000,10.1177/089826430001200402,Journal of Aging & Health
"Surprising SES Gradients in mortality, health, and biomarkers in a Latin American population of adults.","Rosero-Bixby, Luis; Dow, William H.",2009,10.1093/geronb/gbn004,"The journals of gerontology. Series B, Psychological sciences and social sciences"
Supporting housing and neighbourhoods for healthy ageing: Findings from the Housing and Independent Living Study ( HAIL).,"Byles, Julie E; Mackenzie, Lynette; Redman, Sally; Parkinson, Lynne; Leigh, Lucy; Curryer, Cassie",2014,10.1111/j.1741-6612.2012.00646.x,Australasian Journal on Ageing
"""""Successful aging"""": effect of subclinical cardiovascular disease.","Newman, Anne B.; Arnold, Alice M.; Naydeck, Barbara L.; Fried, Linda P.; Burke, Gregory L.; Enright, Paul; Gottdiener, John; Hirsch, Calvin; O'Leary, Daniel; Tracy, Russell",2003,10.1001/archinte.163.19.2315,Archives of internal medicine
Successful aging.,Vaillant GE; Mukamal K,2001,10.1176/appi.ajp.158.6.839,American Journal of Psychiatry
Successful aging: definitions and prediction of longevity and conversion to mild cognitive impairment.,"Negash, Selam; Smith, Glenn E.; Pankratz, Shane; Aakre, Jeremiah; Geda, Yonas E.; Roberts, Rosebud O.; Knopman, David S.; Boeve, Bradley F.; Ivnik, Robert J.; Petersen, Ronald C.",2011,10.1097/JGP.0b013e3181f17ec9,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry
Successful aging in the oldest old: who can be characterized as successfully aged?,von Faber M; Bootsma-van der Wiel A; van Exel E; Gussekloo J; Lagaay AM; van Dongen E; Knook DL; van der Geest S; Westendorp RGJ,2001,10.1001/archinte.161.22.2694,Archives of Internal Medicine
Successful Aging in Late Midlife: The Role of Personality Among College-Educated Women.,"Versey, H.; Stewart, Abigail; Duncan, Lauren",2013,10.1007/s10804-013-9157-7,Journal of Adult Development
Successful Aging and Mortality Risk: The Korean Longitudinal Study of Aging (2006-2014).,"Kim, Hye-Jin; Min, Jin-Young; Min, Kyoung-Bok",2019,10.1016/j.jamda.2018.12.010,Journal of the American Medical Directors Association
Successful ageing in adversity: the LASER-AD longitudinal study.,"Livingston, G.; Cooper, C.; Woods, J.; Milne, A.; Katona, C.",2008,10.1136/jnnp.2007.126706,"Journal of neurology, neurosurgery, and psychiatry"
"Successful ageing from old to very old: a longitudinal study of 12,432 women from Australia.","Byles, Julie E.; Rahman, Md Mijanur; Princehorn, Emily M.; Holliday, Elizabeth G.; Leigh, Lucy; Loxton, Deborah; Beard, John; Kowal, Paul; Jagger, Carol",2019,10.1093/ageing/afz116,Age and ageing
Subjective wellbeing as a determinant of glycated hemoglobin in older adults: longitudinal findings from the English Longitudinal Study of Ageing.,"Poole, Lydia; Hackett, Ruth A.; Panagi, Laura; Steptoe, Andrew",2020,10.1017/S0033291719001879,Psychological Medicine
Subjective well-being key elements of Successful Aging: A study with Lifelong Learners older adults from Costa Rica and Spain.,"Blanco-Molina, Mauricio; Pinazo-Hernandis, Sacramento; Tomás, José Manuel",2019,10.1016/j.archger.2019.06.002,Archives of Gerontology & Geriatrics
Subjective Cognitive Complaints in Cognitively Healthy Older Adults and Their Relationship to Cognitive Performance and Depressive Symptoms.,"Markova, Hana; Andel, Ross; Stepankova, Hana; Kopecek, Miloslav; Nikolai, Tomas; Hort, Jakub; Thomas-Antérion, Catherine; Vyhnalek, Martin",2017,10.3233/JAD-160970,Journal of Alzheimer's disease : JAD
"Stressful life events, family support and successful ageing in the Biafran War generation.","Chukwuorji, JohnBosco Chika; Nwoke, Mary Basil; Ebere, Magnus Okechukwu",2017,10.1080/13607863.2015.1083946,Aging & Mental Health
Strength training is associated with better functional fitness and perceived healthy aging among physically active older adults: a cross-sectional analysis of the Canadian Longitudinal Study on Aging.,"Copeland, Jennifer L.; Good, Joshua; Dogra, Shilpa",2019,10.1007/s40520-018-1079-6,Aging Clinical & Experimental Research
STING SNP R293Q Is Associated with a Decreased Risk of Aging-Related Diseases.,"Hamann, Lutz; Ruiz-Moreno, Juan S.; Szwed, Malgorzata; Mossakowska, Malgorzata; Lundvall, Linn; Schumann, Ralf R.; Opitz, Bastian; Puzianowska-Kuznicka, Monika",2019,10.1159/000492972,Gerontology
Statistical estimation of physiological brain age as a descriptor of senescence rate during adulthood.,"Irimia, Andrei; Torgerson, Carinna M.; Goh, S.-Y. Matthew; Van Horn, John D.",2015,10.1007/s11682-014-9321-0,Brain imaging and behavior
