fecha,titulo,autor,co_autores,ano_pub,DOI,revista,edad_45,factores_ee,reporte_rr,reporte_or,envejecimiento_es,cohorte,estudio_ee,accion,comentario
05/10/2021,Targeting Aging with Functional Food: Pasta with Opuntia Single-Arm Pilot Study.,Aiello,"Aiello, Anna; Di Bona, Danilo; Candore, Giuseppina; Carru, Ciriaco; Zinellu, Angelo; Di Miceli, Giuseppe; Nicosia, Aldo; Gambino, Caterina Maria; Ruisi, Paolo; Caruso, Calogero; Vasto, Sonya; Accardi, Giulia",2018,10.1089/rej.2017.1992,Rejuvenation research,2,2,2,2,2,4,2,,
07/09/2021,Chronic inflammation as a determinant of future aging phenotypes.,Akbaraly,"Akbaraly, Tasnime N.; Hamer, Mark; Ferrie, Jane E.; Lowe, Gordon; Batty, G. David; Hagger-Johnson, Gareth; Singh-Manoux, Archana; Shipley, Martin J.; Kivimäki, Mika",2013,10.1503/cmaj.122072,CMAJ: Canadian Medical Association Journal,1,1,2,1,1,3,2,,
13/09/2021,Does overall diet in midlife predict future aging phenotypes? A cohort study.,Akbaraly,"Akbaraly, Tasnime; Sabia, Séverine; Hagger-Johnson, Gareth; Tabak, Adam G.; Shipley, Martin J.; Jokela, Markus; Brunner, Eric J.; Hamer, Mark; Batty, G. David; Singh-Manoux, Archana; Kivimaki, Mika",2013,10.1016/j.amjmed.2012.10.028,The American journal of medicine,1,2,2,2,2,5,2,,Ideal Aging
09/09/2021,Construct Validation of Three Nutrition Questions Using Health and Diet Ratings in Older Canadian Males Living in the Community.,Akhtar,"Akhtar, Usman; Keller, Heather H.; Tate, Robert B.; Lengyel, Christina O.",2015,10.3148/cjdpr-2015-025,Canadian Journal of Dietetic Practice & Research,1,2,2,2,2,4,2,,
06/09/2021,Association of midlife smoking status with change in processing speed and mental flexibility among HIV-seropositive and HIV-seronegative older men: the Multicenter  AIDS Cohort Study.,Akhtar-Khaleel,"Akhtar-Khaleel, Wajiha Z.; Cook, Robert L.; Shoptaw, Steve; Miller, Eric N.; Sacktor, Ned; Surkan, Pamela J.; Becker, Jim; Teplin, Linda A.; Beyth, Rebecca J.; Price, Catherine; Plankey, Michael",2017,10.1007/s13365-016-0496-6,Journal of neurovirology,1,2,2,2,2,3,2,,
14/09/2021,Greater progression of athletic performance in older Masters athletes.,Akkari,"Akkari, Amanda; Machin, Daniel; Tanaka, Hirofumi",2015,10.1093/ageing/afv023,Age and ageing,2,2,2,2,2,5,2,,
22/09/2021,Neuropathology-driven Whole-genome Sequencing Study Points to Novel Candidate Genes for Healthy Brain Aging.,Alexander,"Alexander, John; Ströbel, Thomas; Georgitsi, Marianthi; Hönigschnabl, Selma; Reiner, Angelika; Fischer, Peter; Tsifintaris, Margaritis; Paschou, Peristera; Kovacs, Gabor G.",2019,10.1097/WAD.0000000000000294,Alzheimer disease and associated disorders,1,2,2,2,1,4,1,,Genes en cerebros de personas con EE
02/09/2021,A multi-cohort study of polymorphisms in the GH/IGF axis and physical capability: the HALCyon programme.,Alfred,"Alfred, Tamuno; Ben-Shlomo, Yoav; Cooper, Rachel; Hardy, Rebecca; Cooper, Cyrus; Deary, Ian J.; Gaunt, Tom R.; Gunnell, David; Harris, Sarah E.; Kumari, Meena; Martin, Richard M.; Sayer, Avan Aihie; Starr, John M.; Kuh, Diana; Day, Ian N. M.",2012,10.1371/journal.pone.0029883,PloS one,1,2,2,2,2,2,1,,
06/09/2021,Associations between APOE and low-density lipoprotein cholesterol genotypes and cognitive and physical capability: the HALCyon programme.,Alfred,"Alfred, Tamuno; Ben-Shlomo, Yoav; Cooper, Rachel; Hardy, Rebecca; Cooper, Cyrus; Deary, Ian J.; Elliott, Jane; Gunnell, David; Harris, Sarah E.; Kivimaki, Mika; Kumari, Meena; Martin, Richard M.; Power, Chris; Sayer, Avan Aihie; Starr, John M.; Kuh, Diana; Day, Ian N. M.",2014,10.1007/s11357-014-9673-9,"Age (Dordrecht, Netherlands)",1,2,2,2,2,4,1,,
02/09/2021,A decade of changes in brain volume and cognition.,Aljondi,"Aljondi, Rowa; Szoeke, Cassandra; Steward, Chris; Yates, Paul; Desmond, Patricia",2019,10.1007/s11682-018-9887-z,Brain imaging and behavior,1,2,2,2,2,3,1,,
05/10/2021,The effect of midlife cardiovascular risk factors on white matter hyperintensity volume and cognition two decades later in normal ageing women.,Aljondi,"Aljondi, Rowa; Szoeke, Cassandra; Steward, Chris; Gorelik, Alexandra; Desmond, Patricia",2020,10.1007/s11682-018-9970-5,Brain Imaging & Behavior,2,2,2,2,2,3,2,,
22/09/2021,"Nutrient Patterns, Cognitive Function, and Decline in Older Persons: Results from the Three-City and NuAge Studies.",AllÃ¨s,"Allès, Benjamin; Samieri, Cécilia; Jutand, Marthe-Aline; Carmichael, Pierre-Hugues; Shatenstein, Bryna; Gaudreau, Pierrette; Ferland, Guylaine; Barberger-Gateau, Pascale; Laurin, Danielle",2019,10.3390/nu11081808,Nutrients,1,2,2,2,2,1,1,,
05/10/2021,The association between obesity and the diagnosis of androgen deficiency in symptomatic ageing men.,Allan,"Allan, Carolyn A.; Strauss, Boyd J.; Burger, Henry G.; Forbes, Elise A.; McLachlan, Robert I.",2006,10.5694/j.1326-5377.2006.tb00639.x,The Medical journal of Australia,1,2,2,2,2,2,2,,
06/10/2021,Variability in total testosterone levels in ageing men with symptoms of androgen deficiency.,Allan,"Allan, C. A.; Strauss, B. J. G.; Forbes, E. A.; Paul, E.; McLachlan, R. I.",2011,10.1111/j.1365-2605.2010.01071.x,International journal of andrology,1,2,2,2,2,1,1,,
05/10/2021,The dynamic relationship between cognitive function and positive well-being in older people: a prospective study using the English Longitudinal Study of Aging.,Allerhand,"Allerhand, Mike; Gale, Catharine R.; Deary, Ian J.",2014,10.1037/a0036551,Psychology & Aging,1,2,2,2,2,3,1,,
02/09/2021,150 minutes of vigorous physical activity per week predicts survival and successful ageing: a population-based 11-year longitudinal study of 12 201 older Australian men.,Almeida,"Almeida, Osvaldo P; Khan, Karim M; Hankey, Graeme J; Yeap, Bu B; Golledge, Jonathan; Flicker, Leon",2014,10.1136/bjsports-2013-092814,British Journal of Sports Medicine,1,1,1,2,1,1,2,,
02/09/2021,"Abstract P021:  Association of AHA Cardiovascular Health Metrics With Cognitive Function, Depression, and Anxiety:  The Emory Healthy Aging Study.  Abstract",Alonso,"Alonso, Alvaro; Goldstein, Felicia C.; Vaccarino, Viola; Levey, Allan I.; Lah, James J.; Marcus, Michele",2017,,Circulation,1,2,2,2,2,2,1,,
04/10/2021,Sex modifies the APOE-related risk of developing Alzheimer disease.,Altmann,"Altmann, Andre; Tian, Lu; Henderson, Victor W; Greicius, Michael D",2014,10.1002/ana.24135,Annals of Neurology,1,2,2,2,2,1,2,,
06/09/2021,Associations between frailty and serum N-terminal propeptide of type I procollagen and 25-hydroxyvitamin D in older Spanish women: The Toledo Study for Healthy Aging,Alvarez-Rios,"Alvarez-Rios, Ana I. a; Guerrero, Juan M. a; Garcia-Garcia, Francisco J. c; Rodriguez-Manas, Leocadio d; Medrano-Campillo, Pablo a; de la Torre Lanza, Maria A. c; Alvarez-Sanchez, Nuria b; Carrillo-Vico, Antonio b",2015,10.1016/j.exger.2015.05.011,Experimental Gerontology,1,2,2,2,2,4,1,,
20/09/2021,Homocysteine levels are associated with bone resorption in pre-frail and frail Spanish women: The Toledo Study for Healthy Aging,Alvarez-Sanchez,"Alvarez-Sanchez, Nuria a; Alvarez-Rios, Ana Isabel b; Guerrero, Juan Miguel a; Garcia-Garcia, Francisco Jose d; Rodriguez-Manas, Leocadio e; Cruz-Chamorro, Ivan a; Lardone, Patricia Judith a; Carrillo-Vico, Antonio a",2018,10.1016/j.exger.2018.04.019,Experimental Gerontology,1,2,2,2,2,4,1,,
06/10/2021,"The prevalence, trends and determinants of mental health disorders in older Australians living in permanent residential aged care: Implications for policy and quality of aged care services.",Amare,"Amare, Azmeraw T; Caughey, Gillian E; Whitehead, Craig; Lang, Catherine E; Bray, Sarah CE; Corlis, Megan; Visvanathan, Renuka; Wesselingh, Steve; Inacio, Maria C",2020,10.1177/0004867420945367,Australian & New Zealand Journal of Psychiatry,1,2,2,2,2,4,2,,
22/09/2021,Modeling factors that influence exercise and dietary change among midlife Australian women: results from the Healthy Aging of Women Study.,Anderson,"Anderson, Rhonda; Anderson, Debra; Hurst, Cameron",2010,10.1016/j.maturitas.2010.06.007,Maturitas,1,2,2,2,2,4,1,,
30/09/2021,Positive Aging Expectations Are Associated With Physical Activity Among Urban-Dwelling Older Adults.,Andrews,"Andrews, Ryan M.; Tan, Erwin J.; Varma, Vijay R.; Rebok, George W.; Romani, William A.; Seeman, Teresa E.; Gruenewald, Tara L.; Tanner, Elizabeth K.; Carlson, Michelle C.",2017,10.1093/geront/gnx060,The Gerontologist,2,2,2,2,2,1,2,,
05/10/2021,Successful aging in the Australian Longitudinal Study of Aging: Applying the MacArthur model cross-nationally,Andrews,"Andrews, Gary; Clark, Michael; Luszcz, Mary",2002,10.1111/1540-4560.00288,Journal of Social Issues,1,1,3,3,1,1,1,3,
14/09/2021,Going Online to Stay Connected: Online Social Participation Buffers the Relationship Between Pain and Depression.,Ang,"Ang, Shannon; Chen, Tuo-Yu",2019,10.1093/geronb/gby109,"The journals of gerontology. Series B, Psychological sciences and social sciences",1,2,2,2,2,5,1,,
04/10/2021,Social interaction and mortality: a seven-year longitudinal study of elderly people.,Anme,"Anme, Tokie; Shinohara, Ryoji; Sugisawa, Yuka; Itoh, Sumio",2006,,[Nihon koshu eisei zasshi] Japanese journal of public health,1,2,2,2,2,1,2,,
21/09/2021,"Longitudinal Associations of Body Mass Index, Waist Circumference, and Waist-to-Hip Ratio with Biomarkers of Oxidative Stress in Older Adults: Results of a Large Cohort  Study.",Anusruti,"Anusruti, Ankita; Jansen, Eugène H. J. M.; Gào, Xīn; Xuan, Yang; Brenner, Hermann; Schöttker, Ben",2020,10.1159/000504711,Obesity facts,1,2,2,2,2,2,2,,
22/09/2021,Mild cognitive decline. A position statement of the Cognitive Decline Group of the European Innovation Partnership for Active and Healthy Ageing (EIPAHA).,Apostolo,"Apostolo, Joao; Holland, Carol; O'Connell, Matthew D.L.; Feeney, Joanne; Tabares-Seisdedos, Rafael; Tadros, George; Campos, Elzbieta; Santos, Nadine; Robertson, Deirdre A.; Marcucci, Maura; Varela-Nieto, Isabel; Crespo-Facorro, Benedicto; Vieta, Eduard; Navarro-Pardo, Esperanza; Selva-Vera, Gabriel; Balanzá-Martínez, Vicent; Cano, Antonio; O'Connell, Matthew D L",2016,10.1016/j.maturitas.2015.10.008,Maturitas,2,2,2,2,2,4,1,,
02/09/2021,"Adipose endocrine function, insulin-like growth factor-1 axis, and exceptional survival beyond 100 years of age.",Arai,"Arai, Yasumichi; Takayama, Michiyo; Gondo, Yasuyuki; Inagaki, Hiroki; Yamamura, Ken; Nakazawa, Susumu; Kojima, Toshio; Ebihara, Yoshinori; Shimizu, Kenichirou; Masui, Yukie; Kitagawa, Koji; Takebayashi, Toru; Hirose, Nobuyoshi",2008,10.1093/gerona/63.11.1209,"The journals of gerontology. Series A, Biological sciences and medical sciences",1,2,2,2,2,3,2,,
20/09/2021,"Inflammation, But Not Telomere Length, Predicts Successful Ageing at Extreme Old Age: A Longitudinal Study of Semi-supercentenarians.",Arai,"Arai, Yasumichi; Martin-Ruiz, Carmen M.; Takayama, Michiyo; Abe, Yukiko; Takebayashi, Toru; Koyasu, Shigeo; Suematsu, Makoto; Hirose, Nobuyoshi; von Zglinicki, Thomas",2015,10.1016/j.ebiom.2015.07.029,EBioMedicine,1,1,3,3,1,1,2,,
07/09/2021,Child maltreatment as a predictor of adult physical functioning in a prospective British birth cohort.,Archer,"Archer, Gemma; Pinto Pereira, Snehal; Power, Christine",2017,10.1136/bmjopen-2017-017900,BMJ open,1,2,2,2,2,4,2,,
13/09/2021,Effects of wisdom and religiosity on subjective well-being in old age and young adulthood: Exploring the pathways through mastery and purpose in life,Ardelt,"Ardelt, Monika; Ferrari, Michel",2019,10.1017/S1041610218001680,International Psychogeriatrics,1,2,2,2,2,4,2,,
02/09/2021,Active and Persistent Cytomegalovirus Infections Affect T Cells in Young Adult HIV Patients Commencing Antiretroviral Therapy.,Ariyanto,"Ariyanto, Ibnu A.; Estiasari, Riwanti; Waters, Shelley; Wulandari, Endah A. T.; Fernandez, Sonia; Lee, Silvia; Price, Patricia",2018,10.1089/vim.2018.0014,Viral immunology,2,2,2,2,2,1,2,,
13/09/2021,"Early-life conditions and health at older ages: The mediating role of educational attainment, family and employment trajectories.",Arpino,"Arpino, Bruno; Gumà, Jordi; Julià, Albert",2018,10.1371/journal.pone.0195320,PloS one,2,2,2,2,2,4,1,,
14/09/2021,Factors associated with healthy aging in septuagenarian and nonagenarian Mexican adults.,Arroyo-Quiroz,"Arroyo-Quiroz, Carmen; Brunauer, Regina; Alavez, Silvestre",2020,10.1016/j.maturitas.2019.10.008,Maturitas,1,1,2,1,1,2,1,,
30/09/2021,"Physical functioning, health and survival: a ten-year follow-up study.",Arve,"Arve, Seija; Savikko, Niina; Lavonius, Sirkku; Lehtonen, Aapo; Isoaho, Hannu",2006,10.1007/BF03324832,Aging clinical and experimental research,1,2,2,2,2,3,2,,
06/10/2021,Vitamin D Deficiency Is Associated With Impaired Muscle Strength And Physical Performance In Community-Dwelling Older Adults: Findings From The English  Longitudinal Study Of Ageing.,Aspell,"Aspell, Niamh; Laird, Eamon; Healy, Martin; Lawlor, Brain; O'Sullivan, Maria",2019,10.2147/CIA.S222143,Clinical interventions in aging,1,2,2,2,2,1,1,,
02/09/2021,"A Healthy Dietary Pattern at Midlife, Combined with a Regulated Energy Intake, Is Related to Increased Odds for Healthy Aging.",Assmann,"Assmann, Karen E.; Lassale, Camille; Andreeva, Valentina A.; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2015,10.3945/jn.115.210740,The Journal of nutrition,1,1,2,1,1,3,2,,
06/09/2021,Association Between Adherence to the Mediterranean Diet at Midlife and Healthy Aging in a Cohort of French Adults,Assmann,"Assmann, Karen E.; Adjibade, Moufidath; Andreeva, Valentina A.; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2018,10.1093/gerona/glx066,Journals of Gerontology,1,1,2,1,1,4,2,3,
06/09/2021,Association of diet quality and physical activity with healthy ageing in the French NutriNet-Santé cohort.,Assmann,"Assmann, Karen E.; Adjibade, Moufidath; Adriouch, Solia; Andreeva, Valentina A.; Julia, Chantal; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2019,10.1017/S0007114519000898,The British journal of nutrition,1,1,1,2,1,3,2,,
13/09/2021,Dietary scores at midlife and healthy ageing in a French prospective cohort.,Assmann,"Assmann, Karen E.; Andreeva, Valentina A.; Camilleri, Géraldine M.; Verger, Eric O.; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2016,10.1017/S0007114516002233,The British journal of nutrition,1,1,2,1,1,1,2,,
20/09/2021,Healthy Aging 5 Years After a Period of Daily Supplementation With Antioxidant Nutrients: A Post Hoc Analysis of the French Randomized Trial SU.VI.MAX.,Assmann,"Assmann, Karen E.; Andreeva, Valentina A.; Jeandel, Claude; Hercberg, Serge; Galan, Pilar; Kesse-Guyot, Emmanuelle",2015,10.1093/aje/kwv105,American Journal of Epidemiology,1,1,1,2,1,4,2,,
09/09/2021,Demonstrating successful aging using the International Collaborative Study for Oral Health Outcomes.,Atchison,"Atchison, K. A.; Andersen, R. M.",2000,10.1111/j.1752-7325.2000.tb03336.x,Journal of public health dentistry,1,2,2,2,1,2,2,,
01/10/2021,Sarcopenic obesity and risk of cardiovascular disease and mortality: a population-based cohort study of older men.,Atkins,"Atkins, Janice L.; Whincup, Peter H.; Morris, Richard W.; Lennon, Lucy T.; Papacosta, Olia; Wannamethee, S. Goya",2014,10.1111/jgs.12652,Journal of the American Geriatrics Society,1,2,2,2,2,2,2,,
07/09/2021,Body mass index and unintentional weight change associated with all-cause mortality in older Australians: the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA).,Atlantis,"Atlantis, Evan; Browning, Colette; Kendig, Hal",2010,10.1093/ageing/afq073,Age & Ageing,1,2,2,2,2,3,1,,
07/09/2021,Cardiovascular disease and death associated with depression and antidepressants in the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA).,Atlantis,"Atlantis, Evan; Grayson, Dave A.; Browning, Colette; Sims, Jane; Kendig, Hal",2011,10.1002/gps.2532,International Journal of Geriatric Psychiatry,1,2,2,2,2,2,1,,
09/09/2021,Diabetes incidence associated with depression and antidepressants in the Melbourne Longitudinal Studies on Healthy Ageing (MELSHA),Atlantis,"Atlantis, Evan; Browning, Colette; Sims, Jane; Kendig, Hal",2010,10.1002/gps.2409,Journal of Geriatric Psychiatry,1,2,2,2,2,2,1,,
21/09/2021,Left atrial volume and geometry in healthy aging: the Cardiovascular Health Study.,Aurigemma,"Aurigemma, Gerard P.; Gottdiener, John S.; Arnold, Alice M.; Chinali, Marcello; Hill, Jeffrey C.; Kitzman, Dalane",2009,10.1161/CIRCIMAGING.108.826602,Circulation. Cardiovascular imaging,1,2,2,2,2,5,2,,
06/09/2021,Association of nutritional risk and depressive symptoms with physical performance in the elderly: the Quebec longitudinal study of nutrition as a determinant of  successful aging (NuAge).,Avila-Funes,"Avila-Funes, José Alberto; Gray-Donald, Katherine; Payette, Hélène",2008,10.1080/07315724.2008.10719730,Journal of the American College of Nutrition,1,2,2,2,2,4,1,,
14/09/2021,Exploring the implementation of the Community for Successful Ageing (ComSA)program in Singapore: lessons learnt on program delivery for improving BioPsychoSocial  health.,Aw,"Aw, Su; Koh, Gerald C. H.; Tan, Chuen Seng; Wong, Mee Lian; Vrijhoef, Hubertus J. M.; Harding, Susana Concordo; Geronimo, Mary Ann B.; Hildon, Zoe J. L.",2019,10.1186/s12877-019-1271-3,BMC geriatrics,2,2,2,2,2,4,2,,Intervenci�n en la poblaci�n. 
06/10/2021,Theory and Design of the Community for successful ageing (ComSA) program in Singapore: connecting BioPsychoSocial health and quality of life experiences of  older adults.,Aw,"Aw, Su; Koh, Gerald C. H.; Tan, Chuen Seng; Wong, Mee Lian; Vrijhoef, Hubertus J. M.; Harding, Susana Concordo; Geronimo, Mary Ann B.; Hildon, Zoe J. L.",2019,10.1186/s12877-019-1277-x,BMC geriatrics,1,2,2,2,2,1,1,,Dise�o de estudio 
06/09/2021,Aging impacts the overall connectivity strength of regions critical for information transfer among brain networks,Bagarinao,"Bagarinao, Epifanio; Watanabe, Hirohisa; Maesawa, Satoshi; Mori, Daisuke; Hara, Kazuhiro; Kawabata, Kazuya; Yoneyama, Noritaka; Ohdake, Reiko; Imai, Kazunori; Masuda, Michihito; Yokoi, Takamasa; Ogura, Aya; Taoka, Toshiaki; Koyama, Shuji; Tanabe, Hiroki C.; Katsuno, Masahisa; Wakabayashi, Toshihiko; Kuzuya, Masafumi; Hoshiyama, Minoru; Isoda, Haruo; Naganawa, Shinji; Ozaki, Norio; Sobue, Gen",2020,10.3389/fnagi.2020.592469,Frontiers in Aging Neuroscience,2,2,2,2,2,5,2,,
07/09/2021,"Awareness of olfactory deficits in healthy aging, amnestic mild cognitive impairment and Alzheimer's disease",Bahar-Fuchs,"Bahar-Fuchs, Alex; Moss, Simon; Rowe, Christopher; Savage, Greg",2011,10.1017/S1041610210002371,International Psychogeriatrics,1,2,2,2,2,4,2,,
13/09/2021,Does flexible goal adjustment predict life satisfaction in older adults? A six-year longitudinal study.,Bailly,"Bailly, Nathalie; Gana, Kamel; Hervé, Catherine; Joulain, Michèle; Alaphilippe, Daniel",2014,10.1080/13607863.2013.875121,Aging & Mental Health,1,2,2,2,2,1,2,,
05/10/2021,Tenacious goal pursuit and flexible goal adjustment in older people over 5 years: a latent profile transition analysis.,Bailly,"Bailly, Nathalie; Martinent, Guillaume; Ferrand, Claude; Gana, Kamel; Joulain, Michèle; Maintier, Christine",2016,10.1093/ageing/afv203,Age and ageing,1,2,2,2,2,3,2,,
24/09/2021,Physical activity and successful aging in Canadian older adults.,Baker,"Baker, Joseph; Meisner, Brad A.; Logan, A. Jane; Kungl, Ann-Marie; Weir, Patricia",2009,10.1123/japa.17.2.223,Journal of aging and physical activity,1,1,3,3,1,4,2,3,
06/09/2021,"Associations of Objectively Measured Physical Activity and Sedentary Time with the Risk of Stroke, Myocardial Infarction or All-Cause Mortality in 70-Year-Old Men and Women: A Prospective Cohort Study.",Ballin,"Ballin, Marcel; Nordström, Peter; Niklasson, Johan; Nordström, Anna",2021,10.1007/s40279-020-01356-y,Sports Medicine,1,2,2,2,2,2,2,,
14/09/2021,Functional status improves in hypertensive older adults: the long-term effects of antihypertensive therapy combined with multicomponent exercise intervention.,Baptista,"Baptista, Liliana C.; Amorim, André Pinto; Valente-Dos-Santos, João; Machado-Rodrigues, Aristides M.; Veríssimo, Manuel Teixeira; Martins, Raul A.",2018,10.1007/s40520-018-0925-x,Aging clinical and experimental research,1,2,2,2,2,4,2,,
05/10/2021,The Great Escape. Centenarians' exceptional health.,Barak,"Barak, Yoram; Leitch, Sharon; Glue, Paul",2021,10.1007/s40520-020-01552-w,Aging clinical and experimental research,1,2,2,2,2,4,2,,
02/09/2021,A longitudinal study of neighbourhood conditions and depression in ageing European adults: Do the associations vary by exposure to childhood stressors?,Baranyi,"Baranyi, Gergő; Sieber, Stefan; Pearce, Jamie; Cheval, Boris; Dibben, Chris; Kliegel, Matthias; Cullati, Stéphane",2019,10.1016/j.ypmed.2019.105764,Preventive medicine,1,2,2,2,2,1,1,,
06/10/2021,"Third follow-up of the Cardiovascular Risk Factors, Aging and Dementia (CAIDE) cohort investigating determinants of cognitive, physical, and psychosocial wellbeing  among the oldest old: the CAIDE85+ study protocol.",Barbera,"Barbera, Mariagnese; Kulmala, Jenni; Lisko, Inna; Pietilä, Eija; Rosenberg, Anna; Hallikainen, Ilona; Hallikainen, Merja; Laatikainen, Tiina; Lehtisalo, Jenni; Neuvonen, Elisa; Rusanen, Minna; Soininen, Hilkka; Tuomilehto, Jaakko; Ngandu, Tiia; Solomon, Alina; Kivipelto, Miia",2020,10.1186/s12877-020-01617-5,BMC geriatrics,1,2,2,2,2,1,2,,
21/09/2021,Is tooth loss important when evaluating perceived general health? Findings from a nationally representative study of Costa Rican adults.,Barboza-SolÃ­s,"Barboza-Solís, Cristina; Porras-Chaverri, Mariela; Fantin, Romain",2019,10.1111/cdoe.12466,Community dentistry and oral epidemiology,1,2,2,2,2,4,1,,
04/10/2021,Sex-Specific Relationship Between Long-Term Maintenance of Physical Activity and Cognition in the Health ABC Study: Potential Role of Hippocampal and Dorsolateral  Prefrontal Cortex Volume.,Barha,"Barha, Cindy K.; Best, John R.; Rosano, Caterina; Yaffe, Kristine; Catov, Janet M.; Liu-Ambrose, Teresa",2020,10.1093/gerona/glz093,"The journals of gerontology. Series A, Biological sciences and medical sciences",1,2,2,2,2,1,1,,
06/09/2021,Age-associated changes in 4D flow CMR derived Tricuspid Valvular Flow and Right Ventricular Blood Flow Kinetic Energy.,Barker,"Barker, Natasha; Zafar, Hamza; Fidock, Benjamin; Elhawaz, Alaa; Al-Mohammad, Abdallah; Rothman, Alexander; Kiely, David G.; van der Geest, R. J.; Westenberg, Jos; Swift, Andrew J.; Wild, James M.; Plein, Sven; Garg, Pankaj",2020,10.1038/s41598-020-66958-y,Scientific reports,1,2,2,2,1,4,2,,
