"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8WGDHMSU","journalArticle","2020","George, Kristen M.; Peterson, Rachel L.; Gilsanz, Paola; Mungas, Dan M.; Glymour, M. Maria; Mayeda, Elizabeth Rose; Whitmer, Rachel A.","Racial/Ethnic Differences in Sleep Quality among Older Adults: Kaiser Healthy Aging and Diverse Life Experiences (KHANDLE) Study.","Ethnicity & disease","","1945-0826 1049-510X","10.18865/ed.30.3.469","","BACKGROUND: We assessed cross-sectional differences in sleep quality and risk factors among Asian, Black, Latino, and White participants in the Kaiser Healthy  Aging and Diverse Life Experiences (KHANDLE) Study. METHODS: KHANDLE enrolled  community-dwelling adults aged ≥65 years living in northern California. Participants  completed a modified Pittsburgh Sleep Quality Index to measure six sleep components  and a global sleep score (scored 0-24). Covariates included age, sex, central  adiposity, education, income, alcohol consumption, ever smoking, physical activity,  and depression. Ordinal logistic regression was used to model sleep component scores  across race/ethnic groups. Linear regression was used to assess racial/ethnic  differences in global sleep score and the association between risk factors and  global sleep score. RESULTS: 1,664 participants with a mean age of 76 (SD=7) and  mean global sleep score of 6 (SD=4) were analyzed. Using Latinos as reference  (highest average sleep score), Blacks had an average .96 (.37, 1.54) unit higher  global sleep score (worse sleep) while Asians [β: .04 (-.56, .63)] and Whites [β:  .28 (-.29, .84)] did not significantly differ. Compared with Latinos, Blacks and  Asians had greater odds of a worse score on the sleep duration component; Blacks and  Whites had greater odds of a worse score on the sleep disturbances component; and,  Whites had greater odds of a worse score on the medication component. Risk factors  for poor sleep did not differ by race/ethnicity except alcohol consumption  (interaction P=.04), which was associated with poor sleep in Blacks only.  CONCLUSIONS: In this cohort, racial/ethnic differences in sleep quality were common.","2020","2021-08-16 22:44:53","2021-08-19 00:09:15","","469-478","","3","30","","Ethn Dis","","","","","","","","eng","Copyright © 2020, Ethnicity & Disease, Inc.","","","","","","PMID: 32742152  PMCID: PMC7360172","","","","Aged; Exercise; Humans; Index Medicus; Risk Factors; Female; Male; Cross-Sectional Studies; Cohort Studies; United States -- epidemiology; United States; Sleep Wake Disorders -- physiopathology; Prospective Studies; Psychology; Cross Sectional Studies; *Sleep; Sleep; United States/epidemiology; *Disparities; *Ethnic Groups/classification/psychology/statistics & numerical data; *Older Adults; *Risk Factors; *Sleep Wake Disorders/ethnology/physiopathology/psychology; Healthy Aging/*ethnology/physiology/psychology; Sleep Hygiene; Social Determinants of Health; Healthy Aging -- physiology; Healthy Aging -- psychology; Ethnic Groups -- statistics & numerical data; Disparities; Ethnic Groups -- classification; Ethnic Groups -- psychology; Healthy Aging -- ethnology; Older Adults; Sleep Wake Disorders -- ethnology; Sleep Wake Disorders -- psychology; Ethnic Groups -- Psychosocial Factors; Ethnic Groups -- Classification; Ethnic Groups -- Statistics and Numerical Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GA9JMZGZ","journalArticle","2020","Khalatbari-Soltani, Saman; Blyth, Fiona M.; Naganathan, Vasi; Handelsman, David J.; Le Couteur, David G.; Seibel, Markus J.; Waite, Louise M.; Cvejic, Erin; Cumming, Robert G.","Socioeconomic status, health-related behaviours, and death among older people: the Concord health and aging in men project prospective cohort study.","BMC geriatrics","","1471-2318","10.1186/s12877-020-01648-y","","BACKGROUND: Conflicting evidence exists regarding the association of socioeconomic status (SES) with mortality among older people and little is known about the  mechanisms underlying this association. We investigated the association of SES with  mortality among older Australian men. We also investigated potential mediating  effects of health-related behaviours in SES-mortality associations. METHODS: We used  data from a prospective population-based cohort (the Concord Health and Aging in Men  Project), in Sydney, Australia. The main outcomes were all-cause and cause-specific  mortality. Educational attainment, occupational position, source of income, housing  tenure, and a cumulative SES score were assessed at baseline. Longitudinally  assessed alcohol consumption, smoking, physical activity, and body mass index were  investigated as potential mediators. Associations were quantified using Cox  regression. RESULTS: We evaluated 1527 men (mean age: 77.4 ± 5.5 years). During a  mean follow-up time of 9.0 years, 783 deaths occurred. For deaths from all causes,  the adjusted hazard ratio (HR) for the lowest tertile of cumulative SES score versus  the highest tertile was 1.44 (95% CI 1.21 to 1.70); the corresponding sub-HRs were  1.35 (0.96 to 1.89) for cardiovascular disease (CVD) mortality; 1.58 (1.15 to 2.18)  for cancer mortality, and 1.86 (1.36 to 2.56) for non-CVD, non-cancer mortality.  SES-mortality associations were attenuated by 11-25% after adjustment for mediating  health-related behaviours. CONCLUSION: Low SES is associated with increased  mortality in older Australian men and health-related behaviours accounted for less  than one-fourth of these associations. Further research is needed to fully  understand the mechanisms underlying SES inequalities in mortality among older  people.","2020-07-29","2021-08-16 22:44:53","2021-08-16 22:44:53","","261","","1","20","","BMC Geriatr","","","","","","","","eng","","","","","","","PMID: 32727399  PMCID: PMC7391572","","","","Aged; Humans; Male; Aging; Aged, 80 and over; Cohort Studies; Socioeconomic Factors; Prospective Studies; Australia/epidemiology; *Successful aging; *Social Class; *Epidemiology; *Health Behavior; *Socioeconomic issues","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QRKEN2JY","journalArticle","2020","Caldas, Vescia; Fernandes, Juliana; Vafaei, Afshin; Gomes, Cristiano; Costa, José; Curcio, Carmen; Guerra, Ricardo Oliveira","Life-Space and Cognitive Decline in Older Adults in Different Social and Economic Contexts: Longitudinal Results from the IMIAS Study.","Journal of cross-cultural gerontology","","1573-0719 0169-3816","10.1007/s10823-020-09406-8","","Psychosocial, socioeconomic and sociocultural aspects can influence cognitive function among community-dwelling older adults. Life-space restriction is  potentially related to cognitive status. We examined the longitudinal association  between life-space mobility and changes in cognitive function in community-dwelling  older adults in different social settings of North and South America and Europe. We  used data from 1486 participants of the International Mobility in Aging Study  (IMIAS) conducted at five sites: Tirana (Albania), Natal (Brazil), Manizales  (Colombia), Kingston and Saint-Hyacinthe (Canada). Life-space mobility was assessed  using the Life-Space Assessment (LSA) questionnaire at baseline (2012), and the  Leganes Cognitive Test was used to evaluate cognitive function at baseline and  follow-up (2016). The Quantile regressions (QR) were used to evaluate the factors  associated with cognitive score in 2016 by adjusting for the cognitive score in  2012, with two distinct models for analyzing variables. A decrease in the cognitive  function was observed at all research sites, except in Manizales. Participants with  more restricted life-space at baseline had a decrease in their cognitive function  4 years later (β = -0.79, 95% CI: -1.400 to -0.18, p value<0.01) compared to those  with the highest level. This decrease was independent of gender, age, research site,  education, income sufficiency, social support, depression, cognitive function at  baseline, chronic conditions and physical performance. Restriction in life-space is  an important prognostic factor for cognitive function. Maintaining life-space can be  a goal in public policies aimed at encouraging healthy aging, and might be useful in  clinical practice to promote health status and to monitor older people at higher  risk of cognitive decline.","2020-09","2021-08-16 22:44:53","2021-08-16 22:44:53","","237-254","","3","35","","J Cross Cult Gerontol","","","","","","","","eng","","","","","","","Place: Netherlands PMID: 32725292","","","","Aged; Humans; Cognition; Risk Factors; Female; Male; Sex Factors; Longitudinal Studies; Socioeconomic Factors; Social Support; Older adults; Canada; *Mobility Limitation; Mobility; Albania; Brazil; Cognitive Dysfunction/*diagnosis; Colombia; Geriatric Assessment/methods; Independent Living/*psychology; Life-space","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96DXR3HS","journalArticle","2020","Ter Hoeve, Nienke; Ekblom, Maria; Galanti, Maria R.; Forsell, Yvonne; Nooijen, Carla F. J.","Unfavourable sedentary and physical activity behaviour before and after retirement: a population-based cohort study.","BMJ open","","2044-6055","10.1136/bmjopen-2020-037659","","BACKGROUND: During transition to retirement there is often a rearrangement of daily life which might provide a key opportunity for interventions to promote a  non-sedentary and active lifestyle. To be able to design effective interventions, it  is essential to know which sedentary and physical behaviour domains (eg, at home or  during leisure time) have potential to facilitate healthy ageing during the  retirement transition. OBJECTIVE: To determine whether unfavourable sedentary and  physical activity behaviour before retirement predict unfavourable sedentary and  physical activity behaviour after retirement. DESIGN: Population-based cohort.  SETTING AND PARTICIPANTS: Adults (n=3272) employed in 2010 but retired in 2014.  METHODS: Self-reported preretirement job activity, sedentary leisure time, physical  activity at home, and walking-cycling and exercise were assessed as predictors for  unfavourable sedentary and physical activity behaviours after retirement using  logistic regression. Unfavourable behaviours were defined based on the respective  median of the cohort distribution. Furthermore, the OR for having multiple  unfavourable behaviours after retirement was determined, based on the amount of  unfavourable behaviours before retirement. All models were adjusted for gender and  education. RESULTS: Unfavourable preretirement physical activity and sedentary  behaviour at home or during leisure time were the strongest predictors of the same  behaviours after retirement. Unfavourable job activity did not predict physical  activity but did predict unfavourable sedentary behaviour after retirement (OR=1.66,  95% CI 1.41 to 1.96). Unfavourable exercise behaviour before retirement predicted  unfavourable sedentary and physical activity after retirement in all domains. With  all behaviours being unfavourable before retirement, the OR of having at least three  unfavourable behaviours after retirement was 36.7 (95% CI 16.8 to 80.5).  CONCLUSIONS: Adults with a higher number of unfavourable preretirement physical  activity and sedentary behaviours are likely to carry these unfavourable behaviours  into retirement age. Interventions should target those with more unfavourable  preretirement physical activity and sedentary behaviours before retirement, and  those interventions focusing on exercise might have greatest potential.","2020-07-28","2021-08-16 22:44:53","2021-08-18 23:23:03","","e037659","","7","10","","BMJ Open","","","","","","","","eng","© Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ.","","","","","","PMID: 32723744  PMCID: PMC7389486","","","","Aged; Humans; Index Medicus; Middle Aged; Female; Male; Surveys and Questionnaires; Cohort Studies; Logistic Models; Leisure Activities; Retirement; *epidemiology; *public health; *Retirement; Self Report; Sweden; *Motor Activity; *preventive medicine; *Sedentary Behavior; Sedentary Behavior; epidemiology; Motor Activity; public health; preventive medicine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVKJQWAG","journalArticle","2020","Marx, M.; Mosnier, I.; Belmin, J.; Wyss, J.; Coudert-Koall, C.; Ramos, A.; Manrique Huarte, R.; Khnifes, R.; Hilly, O.; Martini, A.; Cuda, D.","Healthy aging in elderly cochlear implant recipients: a multinational observational study.","BMC geriatrics","","1471-2318","10.1186/s12877-020-01628-2","","BACKGROUND: Given an increase in the aging population and its impact on healthcare systems, policy makers for provision of health and social services are aiming to  keep older adults in good health for longer, in other words towards 'healthy aging'.  Our study objective is to show that rehabilitation with cochlear implant treatment  in the elderly with hearing impairment improves the overall health-related quality  of life and general well-being that translate into healthy aging. METHODS: The  multicentre, prospective, repeated measures, single-subject, clinical observational  study will accrue 100 elderly, first-time, unilateral CI recipients (≥ 60 years) and  analyze changes on specific measurement tools over ca. 20 months from preimplant to  postimplant. Evaluations will consist of details collected through case history and  interview questionnaires by clinicians, data logging, self-report questionnaires  completed by the recipients and a series of commonly used audiometric measures and  geriatric assessment tools. The primary indicator of changes in overall quality of  life will be the HUI-3. DISCUSSION: The protocol is designed to make use of  measurement tools that have already been applied to the hearing-impaired population  in order to compare effects of CI rehabilitation in adults immediately before their  implantation, (pre-implant) and after gaining 1-1.5 years of experience  (post-implant). The broad approach will lead to a greater understanding of how  useful hearing impacts the quality of life in elderly individuals, and thus improves  potentials for healthy aging. Outcomes will be described and analyzed in detail.  TRIAL REGISTRATION: This research has been registered in ClinicalTrials.gov  (http://www.clinicaltrials.gov/), 7 March 2017 under the n° NCT03072862 .","2020-07-23","2021-08-16 22:44:53","2021-08-18 23:04:46","","252","","1","20","","BMC Geriatr","","","","","","","","eng","","","","","","","PMID: 32703167  PMCID: PMC7376635","","","","Aged; Humans; Quality of Life; Prospective Studies; Human; Scales; Comparative Studies; Evaluation Research; Multicenter Studies; Validation Studies; *Healthy Aging; Treatment Outcome; *Cochlear implant; *Cochlear Implantation; *Cochlear Implants; *Data logging; *Hearing loss in elderly; *Hearing-related healthy aging; *Speech Perception; Treatment Outcomes; Cochlear Implant; Speech Perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFN9D6RK","journalArticle","2020","Snitz, Beth E.; Chang, Yuefang; Tudorascu, Dana L.; Lopez, Oscar L.; Lopresti, Brian J.; DeKosky, Steven T.; Carlson, Michelle C.; Cohen, Ann D.; Kamboh, M. Ilyas; Aizenstein, Howard J.; Klunk, William E.; Kuller, Lewis H.","Predicting resistance to amyloid-beta deposition and cognitive resilience in the oldest-old.","Neurology","","1526-632X 0028-3878","10.1212/WNL.0000000000010239","","OBJECTIVE: To explore long-term predictors of avoiding β-amyloid (Aβ) deposition and maintaining unimpaired cognition as outcomes in the oldest old. METHODS: In a  longitudinal observational cohort study, 100 former participants of the Ginkgo  Evaluation of Memory Study (GEMS; 2000-2008) completed biannual Pittsburgh compound  B-PET imaging and annual clinical-cognitive evaluations beginning in 2010. Most  recent Aβ status and cognitive status were selected for each participant.  Longitudinal outcomes included change in serial Aβ and cognitive tests. Baseline  predictors from GEMS included neuropsychological tests, daily functioning, APOE  genotype, lifestyle variables, occupational measures, health history, sleep,  subjective memory, physical and cognitive activities, depressive symptoms, and  physical performance and health indices, among others. RESULTS: Mean age at the last  cognitive evaluation was 92.0 (range 86-100) years. Mean follow-up time from  baseline to last measured Aβ status was 12.3 (SD 1.9) years and to last cognitive  evaluation was 14.1 (SD 1.9) years. The APOE*2 allele predicted last Aβ status (n =  34 Aβ negative vs n = 66 Aβ positive). Baseline cognition predicted cognitive status  (n = 30 unimpaired vs n = 70 impaired). Predictors of cognitive status among  Aβ-positive participants only (n = 14 normal cognition vs n = 52 impaired) were  baseline cognitive test scores and smoking history. Baseline pulse pressure  predicted longitudinal Aβ increase; paid work engagement and life satisfaction  predicted less cognitive decline. CONCLUSIONS: The APOE*2 allele and lower pulse  pressure predict resistance to Aβ deposition in advanced aging. Cognitive test  scores 14 years prior, likely reflecting premorbid abilities, predict cognitive  status and maintenance of unimpaired cognition in the presence of Aβ. Several  lifestyle factors appear protective.","2020-08-25","2021-08-16 22:44:53","2021-08-19 00:18:08","","e984-e994","","8","95","","Neurology","","","","","","","","eng","© 2020 American Academy of Neurology.","","","","","","PMID: 32699143  PMCID: PMC7668550","","","","Humans; Index Medicus; Abridged Index Medicus; Female; Male; Aged, 80 and over; Brain -- metabolism; Cohort Studies; Longitudinal Studies; Brain -- pathology; Amyloid beta-Peptides; Amyloid beta-Peptides -- metabolism; Blood Pressure -- physiology; Amyloid beta-Peptides/metabolism; Positron-Emission Tomography; *Brain/metabolism/pathology; Apolipoprotein E2/genetics; Blood Pressure/physiology; Cognitive Reserve/*physiology; Healthy Aging/*physiology; Healthy Aging -- physiology; Apolipoprotein E2; Apolipoprotein E2 -- genetics; Cognitive Reserve -- physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHRPMIFK","journalArticle","2021","Belloni, Giulia; Büla, Christophe; Santos-Eggimann, Brigitte; Henchoz, Yves; Fustinoni, Sarah; Seematter-Bagnoud, Laurence","Is Fear of Falling Associated With Incident Disability? A Prospective Analysis in Young-Old Community-Dwelling Adults.","Journal of the American Medical Directors Association","","1538-9375 1525-8610","10.1016/j.jamda.2020.05.051","","OBJECTIVES: Fear of falling (FOF) is common in older people and is related to negative outcomes. This study aimed to investigate whether 2 different instruments,  the Falls Efficacy Scale-International (FES-I) and the single question on FOF and  activity restriction (SQ-FAR), were associated with incident disability at 3 years.  DESIGN: Prospective observational study. SETTING AND PARTICIPANTS: Participants  (n = 1219, 57.4% women) were disability-free community-dwelling persons enrolled in  the Lausanne cohort 65+, aged 66 to 71 years, in 2005. MEASURES: Baseline covariates  included demographic, cognitive, affective, and health status. Basic activities of  daily living (BADL) assessment was recorded annually from a self-administered  questionnaire. Disability outcome was defined as reporting difficulty or help needed  in ≥1 of 5 BADL in ≥2 consecutive years, or being institutionalized during  follow-up. RESULTS: At 3 years, disability was reported by 77 participants (6.3%).  Reporting the highest level of fear at FES-I [adjusted odds ratio (aOR) 5.14, 95%  confidence interval (CI) 1.82-14.55, P = .002] or ""FOF with activity restriction""  with SQ-FAR (aOR 3.23, 95% CI 1.29-8.08, P = .012) were both associated with  increased odds of disability even after adjusting for covariates. The FES-I model  explained incident disability slightly better than the SQ-FAR one [Bayesian  information criterion (BIC) values of 466.70 and 469.43, respectively]. CONCLUSIONS  AND IMPLICATIONS: High FOF and related activity restriction, assessed with FES-I and  SQ-FAR, are associated with incident disability in young-old community-dwelling  people. The SQ-FAR is suitable as a screening tool to proactively detect a  potentially reversible risk factor for disability. Using the FES-I may serve  additional clinical purposes, such as FOF characterization and management.","2021-02","2021-08-16 22:44:53","2021-08-16 22:44:53","","464-467.e4","","2","22","","J Am Med Dir Assoc","","","","","","","","eng","Copyright © 2020 AMDA – The Society for Post-Acute and Long-Term Care Medicine. Published by Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 32693997","","","","Aged; Humans; Female; Male; Prospective Studies; Activities of Daily Living; *healthy ageing; *older adults; *Independent Living; *Accidental Falls; *disability; *FES-I; *functional impairment; Bayes Theorem; Fear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBBCRS8U","journalArticle","2020","Moreno-Agostino, Darío; Daskalopoulou, Christina; Wu, Yu-Tzu; Koukounari, Artemis; Haro, Josep Maria; Tyrovolas, Stefanos; Panagiotakos, Demosthenes B.; Prince, Martin; Prina, A. Matthew","The impact of physical activity on healthy ageing trajectories: evidence from eight cohort studies.","The international journal of behavioral nutrition and physical activity","","1479-5868","10.1186/s12966-020-00995-8","","BACKGROUND: Research has suggested the positive impact of physical activity on health and wellbeing in older age, yet few studies have investigated the  associations between physical activity and heterogeneous trajectories of healthy  ageing. We aimed to identify how physical activity can influence healthy ageing  trajectories using a harmonised dataset of eight ageing cohorts across the world.  METHODS: Based on a harmonised dataset of eight ageing cohorts in Australia, USA,  Mexico, Japan, South Korea, and Europe, comprising 130,521 older adults  (M(age) = 62.81, SD(age) = 10.06) followed-up up to 10 years (M(follow-up) = 5.47,  SD(follow-up) = 3.22), we employed growth mixture modelling to identify latent  classes of people with different trajectories of healthy ageing scores, which  incorporated 41 items of health and functioning. Multinomial logistic regression  modelling was used to investigate the associations between physical activity and  different types of trajectories adjusting for sociodemographic characteristics and  other lifestyle behaviours. RESULTS: Three latent classes of healthy ageing  trajectories were identified: two with stable trajectories with high (71.4%) or low  (25.2%) starting points and one with a high starting point but a fast decline over  time (3.4%). Engagement in any level of physical activity was associated with  decreased odds of being in the low stable (OR: 0.18; 95% CI: 0.17, 0.19) and fast  decline trajectories groups (OR: 0.44; 95% CI: 0.39, 0.50) compared to the high  stable trajectory group. These results were replicated with alternative physical  activity operationalisations, as well as in sensitivity analyses using reduced  samples. CONCLUSIONS: Our findings suggest a positive impact of physical activity on  healthy ageing, attenuating declines in health and functioning. Physical activity  promotion should be a key focus of healthy ageing policies to prevent disability and  fast deterioration in health.","2020-07-16","2021-08-16 22:44:53","2021-08-18 23:38:31","","92","","1","17","","Int J Behav Nutr Phys Act","","","","","","","","eng","","","","","","","PMID: 32677960  PMCID: PMC7364650","","","","Aged; Exercise; Humans; Index Medicus; Life Style; Middle Aged; Female; Male; Europe; Health Status; Japan; Cohort Studies; Socioeconomic Factors; United States -- epidemiology; Health Policy; Health Promotion; United States; Sensitivity and Specificity; Prospective Studies; Australia; Confidence Intervals; Logistic Models; Odds Ratio; Models, Theoretical; Descriptive Statistics; Human; Comparative Studies; *Healthy Aging; Europe/epidemiology; Australia/epidemiology; Republic of Korea/epidemiology; *Exercise; Healthy Aging; *Physical activity; Latent Class Analysis; United States/epidemiology; *Data harmonisation; *Growth mixture modelling; *Health metric; *Life Style; *Lifestyle behaviours; Japan/epidemiology; Mexico/epidemiology; Mexico; Physical activity; Australia -- epidemiology; Data harmonisation; Europe -- epidemiology; Growth mixture modelling; Health metric; Japan -- epidemiology; Lifestyle behaviours; Mexico -- epidemiology; Republic of Korea -- epidemiology; Middle Age; Multiple Logistic Regression; Physical Activity; South Korea; Growth; Latent Structure Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S68CDJYQ","journalArticle","2020","Natovich, Rachel; Gayus, Noa; Azmon, Michal; Michal, Hila; Gury Twito, Omri; Yair, Tomer; Raudoi, Svetlana; Kapra, Ori; Cukierman-Yaffe, Tali","A Comprehensive Intervention for Promoting Successful Aging Amongst Older People With Diabetes With Below-Normal Cognitive Function-A Feasibility Study.","Frontiers in endocrinology","","1664-2392","10.3389/fendo.2020.00348","","Background: Older people with diabetes have an increased risk for disability and cognitive dysfunction, which may impede self-care capacity. These are not evaluated  routinely in current health systems. In the Center for Successful Aging with  Diabetes, patients over the age of 60 undergo multi-disciplinary evaluation days and  are provided with an integrated (cognitive, physical, nutritional, and medical)  treatment plan. Among individuals with below-normal cognitive function,  self-adherence to these recommendations poses a challenge. Thus, the aim of this  study was to test the feasibility of a multidisciplinary intervention amongst older  people with diabetes with below-normal cognitive function and sub-optimal glucose  control. Methods: Patients with a MoCA score under 26 and A1C >= 7.5% participated  in a two-arm intervention: (A) a medical intervention: monthly meetings with a  diabetes nurse-educator, supervised by a diabetes specialist and study psychologist  during which changes in their pharmacological regimen of glucose, blood pressure,  and lipid control were made and (B) a cognitive/physical rehabilitation  intervention. This arm consisted of (1) an intensive phase-group meetings which  included computerized cognitive training, aerobic, balance, and strength exercise,  and group discussions and (2) a monthly consolidation phase. Outcomes included  change in A1C, change in strength, balance, and aerobic exercise capacity as well as  change in quality of life. Results: After 12 months there was a 0.7% reduction in  A1C. After 3 months there was a statistically significant improvement in physical  indices, including aerobic capacity (6-min walk), balance (FSST) and indices  assessing the risk of fall (10-meter walk, time up and go). There was no additional  improvement in physical indices between the 3 and 12 month visits. For some of the  physical measures, the improvement observed after 3 months persisted partially to  the 12-month visit. Conclusions: This feasibility study provides preliminary data  that support the efficacy of the complex interventions described. The findings  suggest that this older population would require an ongoing ""intensive phase""  intervention. Larger prospective randomized trials are needed.","2020","2021-08-16 22:44:53","2021-08-16 22:44:53","","348","","","11","","Front Endocrinol (Lausanne)","","","","","","","","eng","Copyright © 2020 Natovich, Gayus, Azmon, Michal, Gury Twito, Yair, Raudoi, Kapra and Cukierman-Yaffe.","","","","","","PMID: 32670196  PMCID: PMC7326129","","","","Aged; Humans; Female; Male; Follow-Up Studies; Prognosis; *Exercise; *aging; *Quality of Life; *A1C; *cognition; *diabetes; *intervention; Accidental Falls/*prevention & control/statistics & numerical data; Aging/*pathology; Cognitive Dysfunction/epidemiology/pathology/*therapy; Diabetes Mellitus/*physiopathology; Feasibility Studies; Israel/epidemiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LBV53ZW","journalArticle","2020","Chen, Cheng; Xun, Pengcheng; Kaufman, Joel D.; Hayden, Kathleen M.; Espeland, Mark A.; Whitsel, Eric A.; Serre, Marc L.; Vizuete, William; Orchard, Tonya; Harris, William S.; Wang, Xinhui; Chui, Helena C.; Chen, Jiu-Chiuan; He, Ka","Erythrocyte omega-3 index, ambient fine particle exposure, and brain aging.","Neurology","","1526-632X 0028-3878","10.1212/WNL.0000000000010074","","OBJECTIVE: To examine whether long-chain omega-3 polyunsaturated fatty acid (LCn3PUFA) levels modify the potential neurotoxic effects of particle matter with  diameters <2.5 µm (PM(2.5)) exposure on normal-appearing brain volumes among  dementia-free elderly women. METHODS: A total of 1,315 women (age 65-80 years) free  of dementia were enrolled in an observational study between 1996 and 1999 and  underwent structural brain MRI in 2005 to 2006. According to prospectively collected  and geocoded participant addresses, we used a spatiotemporal model to estimate the  3-year average PM(2.5) exposure before the MRI. We examined the joint associations  of baseline LCn3PUFAs in red blood cells (RBCs) and PM(2.5) exposure with brain  volumes in generalized linear models. RESULTS: After adjustment for potential  confounders, participants with higher levels of RBC LCn3PUFA had significantly  greater volumes of white matter and hippocampus. For each interquartile increment  (2.02%) in omega-3 index, the average volume was 5.03 cm(3) (p < 0.01) greater in  the white matter and 0.08 cm(3) (p = 0.03) greater in the hippocampus. The  associations with RBC docosahexaenoic acid and eicosapentaenoic acid levels were  similar. Higher LCn3PUFA attenuated the inverse associations between PM(2.5)  exposure and white matter volumes in the total brain and multimodal association  areas (frontal, parietal, and temporal; all p for interaction <0.05), while the  associations with other brain regions were not modified. Consistent results were  found for dietary intakes of LCn3PUFAs and nonfried fish. CONCLUSIONS: Findings from  this prospective cohort study among elderly women suggest that the benefits of  LCn3PUFAs on brain aging may include the protection against potential adverse  effects of air pollution on white matter volumes.","2020-08-25","2021-08-16 22:44:53","2021-08-18 22:53:44","","e995-e1007","","8","95","","Neurology","","","","","","","","eng","© 2020 American Academy of Neurology.","","","","","","PMID: 32669395  PMCID: PMC7668549","","","","Aged; Humans; Index Medicus; Abridged Index Medicus; Female; Aged, 80 and over; Cohort Studies; Brain -- pathology; Prospective Studies; Magnetic Resonance Imaging; Brain/*pathology; Environmental Exposure/adverse effects; Erythrocytes/metabolism; Fatty Acids, Omega-3/*blood; Healthy Aging/*blood; Particulate Matter/*adverse effects; Environmental Exposure -- adverse effects; Erythrocytes -- metabolism; Fatty Acids, Omega-3; Fatty Acids, Omega-3 -- blood; Healthy Aging -- blood; Particulate Matter; Particulate Matter -- adverse effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
